20180228080000
20180228100000
z(m)	zh_mn(dBZ)	zh_std(dB)	zdr_mn(db)	zdr_std(dB)	kdp_mn(deg/km)	kdp_std(deg/km)	rhv_mn	rhv_std
0.815	-7.1	1.56	-0.93	3.11	0.00	0.00	0.59	0.16
0.865	-8.4	1.36	-0.81	2.94	0.00	0.00	0.46	0.15
0.915	-7.8	1.29	-0.03	1.40	0.01	0.04	0.50	0.17
0.965	-6.2	1.96	-1.59	1.17	0.05	0.20	0.67	0.10
1.015	-2.1	2.27	-2.05	1.01	0.21	0.41	0.76	0.06
1.065	2.3	2.17	-1.86	0.69	0.16	0.32	0.87	0.04
1.115	6.4	2.17	-1.30	0.69	0.30	0.47	0.88	0.04
1.165	10.6	2.35	-0.17	0.57	0.44	0.74	0.88	0.03
1.215	14.3	2.13	0.40	0.43	0.72	0.82	0.86	0.06
1.265	16.2	2.01	0.48	0.57	0.91	0.71	0.87	0.04
1.315	17.7	2.16	0.49	0.34	0.88	0.38	0.90	0.03
1.365	19.0	1.92	0.44	0.19	0.91	0.30	0.95	0.02
1.415	20.3	2.05	0.50	0.15	0.97	0.31	0.98	0.01
1.465	21.4	1.99	0.55	0.16	1.06	0.25	0.98	0.00
1.515	22.1	2.07	0.57	0.16	1.13	0.28	0.98	0.00
1.565	22.7	1.96	0.60	0.16	1.18	0.27	0.99	0.00
1.615	23.4	1.65	0.56	0.16	1.19	0.29	0.99	0.00
1.665	23.6	1.98	0.55	0.14	1.27	0.29	0.99	0.00
1.715	23.6	1.69	0.41	0.16	1.27	0.28	0.99	0.00
1.765	23.3	2.00	0.36	0.13	1.23	0.28	0.99	0.00
1.815	23.2	2.14	0.39	0.23	1.22	0.26	0.99	0.00
1.865	23.1	2.21	0.45	0.13	1.21	0.21	0.99	0.00
1.915	23.4	2.00	0.48	0.13	1.19	0.17	0.99	0.00
1.965	23.0	2.19	0.48	0.18	1.16	0.15	0.99	0.00
2.015	23.0	2.12	0.48	0.16	1.14	0.16	0.99	0.00
2.065	23.0	2.35	0.47	0.18	1.16	0.18	0.99	0.01
2.115	22.6	2.14	0.40	0.21	1.16	0.17	0.99	0.00
2.165	22.8	2.03	0.43	0.16	1.16	0.15	0.99	0.00
2.215	22.7	1.59	0.47	0.18	1.14	0.18	0.99	0.00
2.265	22.3	1.53	0.56	0.23	1.12	0.24	0.98	0.02
2.315	22.2	1.66	0.47	0.17	1.10	0.24	0.98	0.02
2.365	22.4	1.66	0.43	0.19	1.09	0.20	0.99	0.00
2.415	22.1	1.44	0.51	0.19	1.03	0.25	0.98	0.01
2.465	22.2	1.60	0.45	0.17	0.91	0.29	0.98	0.01
2.515	22.7	1.36	0.44	0.17	0.75	0.34	0.99	0.00
2.565	22.4	1.20	0.45	0.14	0.55	0.36	0.99	0.00
2.615	22.5	1.14	0.46	0.14	0.38	0.31	0.99	0.00
2.665	22.5	1.15	0.47	0.15	0.25	0.28	0.99	0.00
2.715	22.6	1.26	0.42	0.12	0.19	0.29	0.99	0.00
2.765	22.7	1.31	0.40	0.11	0.15	0.26	0.99	0.00
2.815	22.7	1.35	0.39	0.10	0.09	0.16	0.99	0.00
2.865	22.7	1.43	0.40	0.09	0.06	0.16	0.99	0.00
2.915	22.4	1.34	0.38	0.12	0.07	0.15	0.99	0.00
2.965	22.5	1.35	0.37	0.11	0.05	0.12	0.99	0.00
3.015	22.4	1.26	0.37	0.11	0.04	0.10	0.99	0.00
3.065	22.2	1.26	0.36	0.11	0.04	0.13	0.99	0.00
3.115	22.1	1.27	0.37	0.12	0.04	0.15	0.99	0.00
3.165	21.9	1.15	0.35	0.09	0.05	0.17	0.99	0.00
3.215	21.9	1.20	0.38	0.12	0.06	0.18	0.99	0.00
3.265	21.9	1.10	0.38	0.12	0.11	0.26	0.99	0.00
3.315	21.8	1.10	0.37	0.11	0.11	0.20	0.99	0.00
3.365	21.6	1.14	0.35	0.12	0.11	0.18	0.99	0.00
3.415	21.5	1.09	0.35	0.12	0.12	0.18	0.99	0.00
3.465	21.3	1.18	0.36	0.14	0.15	0.23	0.99	0.00
3.515	21.1	1.09	0.35	0.14	0.17	0.23	0.99	0.00
3.565	20.9	0.99	0.34	0.14	0.18	0.27	0.99	0.00
3.615	20.7	0.90	0.35	0.12	0.21	0.26	0.99	0.00
3.665	20.4	0.94	0.33	0.13	0.26	0.31	0.99	0.00
3.715	20.1	1.04	0.31	0.13	0.29	0.29	0.99	0.00
3.765	19.9	1.17	0.32	0.12	0.34	0.30	0.99	0.00
3.815	19.7	1.27	0.35	0.13	0.40	0.28	0.99	0.00
3.865	19.6	1.19	0.35	0.14	0.43	0.30	0.99	0.00
3.915	19.4	1.19	0.32	0.14	0.46	0.32	0.99	0.00
3.965	19.5	1.04	0.34	0.13	0.49	0.32	0.99	0.00
4.015	19.5	1.01	0.35	0.13	0.53	0.31	0.99	0.00
4.065	19.4	0.99	0.36	0.13	0.55	0.29	0.99	0.00
4.115	19.3	1.05	0.34	0.11	0.56	0.29	0.99	0.00
4.165	19.2	1.06	0.34	0.13	0.58	0.30	0.99	0.00
4.215	19.2	1.14	0.36	0.13	0.60	0.27	0.99	0.00
4.265	19.1	1.25	0.36	0.12	0.62	0.27	0.99	0.00
4.315	19.0	1.42	0.36	0.12	0.65	0.23	0.99	0.00
4.365	18.9	1.45	0.43	0.13	0.64	0.23	0.99	0.00
4.415	18.6	1.39	0.41	0.16	0.63	0.21	0.99	0.00
4.465	18.3	1.46	0.39	0.17	0.62	0.19	0.99	0.00
4.515	18.0	1.36	0.43	0.20	0.60	0.19	0.99	0.00
4.565	17.8	1.61	0.43	0.20	0.59	0.19	0.99	0.00
4.615	17.6	1.84	0.44	0.17	0.58	0.18	0.99	0.00
4.665	17.5	1.83	0.45	0.18	0.56	0.17	0.99	0.00
4.715	17.2	2.01	0.43	0.15	0.53	0.17	0.99	0.00
4.765	16.9	1.70	0.43	0.16	0.52	0.18	0.99	0.00
4.815	16.5	1.82	0.44	0.16	0.51	0.17	0.99	0.00
4.865	16.3	1.86	0.41	0.17	0.49	0.16	0.99	0.00
4.915	16.1	1.82	0.38	0.18	0.47	0.16	0.99	0.00
4.965	15.7	1.75	0.35	0.15	0.45	0.15	0.99	0.00
5.015	15.6	1.82	0.35	0.13	0.43	0.16	0.99	0.00
5.065	15.5	1.87	0.36	0.12	0.41	0.15	0.99	0.00
5.115	15.4	1.67	0.35	0.14	0.40	0.15	0.99	0.00
5.165	15.2	1.92	0.34	0.10	0.39	0.15	0.99	0.00
5.215	15.0	1.97	0.30	0.14	0.39	0.14	0.99	0.00
5.265	14.9	2.19	0.30	0.15	0.38	0.15	0.99	0.00
5.315	14.6	2.04	0.34	0.16	0.35	0.16	0.99	0.00
5.365	14.5	2.11	0.35	0.17	0.35	0.14	0.99	0.00
5.415	14.3	2.38	0.33	0.10	0.33	0.13	0.99	0.00
5.465	14.2	2.47	0.36	0.13	0.32	0.11	0.99	0.00
5.515	14.2	2.30	0.30	0.15	0.30	0.13	0.99	0.00
5.565	14.0	2.34	0.32	0.13	0.28	0.12	0.99	0.00
5.615	13.7	2.60	0.32	0.14	0.26	0.10	0.99	0.00
5.665	13.3	2.73	0.33	0.16	0.26	0.09	0.99	0.00
5.715	13.4	2.67	0.30	0.14	0.24	0.10	0.99	0.00
5.765	13.3	2.69	0.30	0.13	0.22	0.10	0.99	0.00
5.815	13.0	2.79	0.29	0.10	0.21	0.10	0.99	0.00
5.865	12.6	2.57	0.29	0.12	0.20	0.09	0.99	0.00
5.915	12.5	2.63	0.36	0.13	0.20	0.10	0.99	0.00
5.965	12.5	2.58	0.35	0.12	0.18	0.09	0.99	0.00
6.015	11.9	2.42	0.32	0.13	0.16	0.08	0.99	0.00
6.065	11.8	2.75	0.30	0.16	0.17	0.08	0.99	0.00
6.115	11.6	2.66	0.26	0.11	0.17	0.08	0.99	0.00
6.165	11.4	2.94	0.29	0.13	0.14	0.07	0.99	0.00
6.215	11.5	2.89	0.25	0.12	0.13	0.05	0.99	0.00
6.265	11.5	2.74	0.25	0.13	0.14	0.06	0.99	0.00
6.315	11.1	2.65	0.25	0.11	0.12	0.07	0.99	0.00
6.365	10.9	2.70	0.27	0.11	0.11	0.05	0.99	0.00
6.415	10.8	2.43	0.25	0.12	0.11	0.06	0.99	0.00
6.465	10.5	2.27	0.21	0.11	0.10	0.06	0.99	0.00
6.515	10.3	2.19	0.22	0.13	0.09	0.05	0.99	0.00
6.565	10.1	2.65	0.23	0.14	0.10	0.06	0.99	0.00
6.615	10.0	2.64	0.23	0.14	0.09	0.05	0.99	0.00
6.665	9.5	2.90	0.24	0.13	0.08	0.04	0.99	0.00
6.715	9.6	2.96	0.21	0.11	0.09	0.05	0.99	0.00
6.765	9.3	2.92	0.26	0.16	0.08	0.04	0.99	0.00
6.815	9.1	2.74	0.22	0.13	0.08	0.05	0.99	0.00
6.865	8.7	2.59	0.28	0.16	0.08	0.06	0.99	0.00
6.915	8.6	2.79	0.22	0.15	0.07	0.05	0.99	0.00
6.965	8.3	2.61	0.26	0.12	0.07	0.04	0.99	0.00
7.015	8.3	2.71	0.21	0.12	0.06	0.05	0.99	0.00
7.065	7.9	2.70	0.23	0.10	0.05	0.03	0.99	0.00
7.115	7.8	2.67	0.24	0.15	0.07	0.04	0.99	0.00
7.165	7.4	2.83	0.26	0.13	0.04	0.03	0.99	0.00
7.215	7.2	2.75	0.24	0.16	0.05	0.05	0.99	0.00
7.265	7.2	2.74	0.26	0.15	0.05	0.04	0.99	0.00
7.315	6.8	2.68	0.21	0.17	0.04	0.04	0.99	0.00
7.365	6.3	2.95	0.23	0.18	0.05	0.04	0.99	0.00
7.415	6.1	3.07	0.27	0.17	0.03	0.03	0.99	0.00
7.465	5.8	3.36	0.24	0.18	0.05	0.04	0.99	0.01
7.515	5.5	3.38	0.24	0.13	0.04	0.03	0.98	0.01
7.565	5.4	3.40	0.18	0.12	0.04	0.04	0.99	0.01
7.615	5.0	3.47	0.24	0.15	0.03	0.04	0.99	0.01
7.665	5.0	3.44	0.22	0.18	0.03	0.04	0.99	0.00
7.715	4.4	3.31	0.26	0.18	0.03	0.04	0.98	0.01
7.765	4.1	3.49	0.23	0.15	0.04	0.04	0.98	0.01
7.815	3.8	3.56	0.22	0.18	0.03	0.04	0.98	0.01
7.865	3.5	3.73	0.29	0.38	0.04	0.03	0.98	0.01
7.915	3.8	2.92	0.20	0.17	0.03	0.04	0.98	0.00
7.965	3.7	2.94	0.20	0.20	0.03	0.03	0.98	0.01
8.015	2.8	3.96	0.19	0.25	0.03	0.03	0.98	0.01
8.065	2.7	3.90	0.21	0.18	0.03	0.04	0.98	0.01
8.115	2.8	3.07	0.18	0.19	0.02	0.03	0.98	0.01
8.165	2.3	2.97	0.23	0.26	0.02	0.03	0.98	0.01
8.215	2.2	3.21	0.23	0.24	0.02	0.02	0.98	0.01
