20180228080000
20180228100000
z(m)	zh_mn(dBZ)	zh_std(dB)	zdr_mn(db)	zdr_std(dB)	kdp_mn(deg/km)	kdp_std(deg/km)	rhv_mn	rhv_std
8.265	2.0	3.32	0.25	0.25	0.02	0.04	0.98	0.01
8.315	1.7	3.42	0.22	0.20	0.01	0.03	0.98	0.01
8.365	1.2	3.49	0.26	0.32	0.02	0.03	0.98	0.02
8.415	1.1	2.97	0.13	0.22	0.02	0.04	0.98	0.01
8.465	0.6	3.25	0.22	0.17	0.01	0.02	0.98	0.01
8.515	-0.3	3.49	0.18	0.29	0.02	0.03	0.97	0.02
8.565	-0.6	3.42	0.15	0.20	0.01	0.02	0.97	0.02
8.615	0.1	2.66	0.17	0.29	0.01	0.02	0.98	0.01
8.665	-0.9	3.14	0.18	0.32	0.01	0.02	0.97	0.02
8.715	-0.7	2.69	0.06	0.37	0.01	0.02	0.98	0.01
8.765	-1.1	2.23	0.22	0.36	0.01	0.02	0.97	0.01
