20180304234000
20180305003000
z(m)	mdv_mn(m/s)	mdv_std(m/s)	lwp_mn(g/m2)	lwp_std(g/m2)
2.116	-0.95	0.76	69	24
2.127	-0.96	0.76	69	24
2.138	-0.96	0.74	69	24
2.149	-0.95	0.68	69	24
2.160	-0.95	0.64	69	24
2.172	-0.94	0.63	69	24
2.183	-0.94	0.64	69	24
2.194	-0.93	0.62	69	24
2.205	-0.92	0.59	69	24
2.216	-0.95	0.58	69	24
2.227	-0.99	0.55	69	24
2.239	-1.02	0.53	69	24
2.250	-1.03	0.52	69	24
2.261	-1.04	0.49	69	24
2.272	-1.04	0.48	69	24
2.283	-1.03	0.47	69	24
2.295	-1.02	0.46	69	24
2.306	-1.02	0.46	69	24
2.317	-1.05	0.46	69	24
2.328	-1.06	0.44	69	24
2.339	-1.07	0.43	69	24
2.350	-1.09	0.42	69	24
2.362	-1.11	0.39	69	24
2.373	-1.13	0.37	69	24
2.384	-1.15	0.35	69	24
2.395	-1.17	0.33	69	24
2.406	-1.19	0.31	69	24
2.418	-1.20	0.30	69	24
2.429	-1.20	0.30	69	24
2.440	-1.20	0.30	69	24
2.451	-1.21	0.30	69	24
2.477	-1.22	0.28	69	24
2.510	-1.23	0.26	69	24
2.542	-1.25	0.23	69	24
2.575	-1.26	0.22	69	24
2.607	-1.26	0.21	69	24
2.640	-1.26	0.21	69	24
2.672	-1.26	0.21	69	24
2.705	-1.25	0.21	69	24
2.738	-1.23	0.20	69	24
2.770	-1.21	0.19	69	24
2.803	-1.20	0.18	69	24
2.835	-1.18	0.17	69	24
2.868	-1.16	0.16	69	24
2.900	-1.15	0.15	69	24
2.933	-1.13	0.14	69	24
2.965	-1.12	0.14	69	24
2.998	-1.11	0.14	69	24
3.030	-1.10	0.14	69	24
3.063	-1.09	0.13	69	24
3.095	-1.09	0.12	69	24
3.128	-1.08	0.11	69	24
3.160	-1.08	0.12	69	24
3.193	-1.07	0.13	69	24
3.225	-1.07	0.13	69	24
3.258	-1.06	0.12	69	24
3.290	-1.05	0.12	69	24
3.323	-1.04	0.12	69	24
3.355	-1.04	0.12	69	24
3.388	-1.03	0.11	69	24
3.420	-1.03	0.10	69	24
3.453	-1.02	0.11	69	24
3.486	-1.02	0.11	69	24
3.518	-1.03	0.11	69	24
3.551	-1.04	0.10	69	24
3.583	-1.04	0.09	69	24
3.616	-1.04	0.08	69	24
3.648	-1.04	0.08	69	24
3.681	-1.03	0.08	69	24
3.713	-1.02	0.08	69	24
3.746	-1.00	0.08	69	24
3.778	-0.99	0.08	69	24
3.811	-0.98	0.08	69	24
3.843	-0.98	0.08	69	24
3.876	-0.97	0.09	69	24
3.908	-0.95	0.10	69	24
3.941	-0.94	0.10	69	24
3.973	-0.93	0.10	69	24
4.006	-0.91	0.10	69	24
4.038	-0.90	0.11	69	24
4.071	-0.88	0.11	69	24
4.103	-0.86	0.11	69	24
4.136	-0.85	0.12	69	24
4.168	-0.84	0.12	69	24
4.201	-0.82	0.12	69	24
4.234	-0.81	0.12	69	24
4.266	-0.79	0.12	69	24
4.299	-0.79	0.13	69	24
4.331	-0.78	0.12	69	24
4.364	-0.77	0.12	69	24
4.396	-0.77	0.12	69	24
4.429	-0.77	0.12	69	24
4.461	-0.77	0.11	69	24
4.494	-0.76	0.11	69	24
4.526	-0.76	0.11	69	24
4.559	-0.76	0.11	69	24
4.591	-0.76	0.11	69	24
4.624	-0.76	0.11	69	24
4.656	-0.76	0.11	69	24
4.689	-0.75	0.11	69	24
4.721	-0.74	0.11	69	24
4.754	-0.73	0.11	69	24
4.786	-0.72	0.11	69	24
4.819	-0.70	0.11	69	24
4.851	-0.68	0.12	69	24
4.884	-0.66	0.12	69	24
4.916	-0.64	0.13	69	24
4.949	-0.62	0.13	69	24
4.982	-0.60	0.14	69	24
5.014	-0.58	0.15	69	24
5.047	-0.57	0.16	69	24
5.079	-0.56	0.16	69	24
5.112	-0.56	0.16	69	24
5.144	-0.56	0.16	69	24
5.177	-0.57	0.17	69	24
5.209	-0.57	0.17	69	24
5.242	-0.57	0.17	69	24
5.274	-0.56	0.17	69	24
5.307	-0.55	0.18	69	24
5.339	-0.55	0.20	69	24
5.372	-0.53	0.22	69	24
5.404	-0.53	0.31	69	24
5.437	-0.51	0.38	69	24
5.469	-0.54	0.55	69	24
5.502	-0.48	0.78	69	24
5.534	-0.49	0.86	69	24
5.567	-0.51	0.81	69	24
5.599	-0.45	0.83	69	24
5.632	-0.41	0.91	69	24
5.664	-0.41	0.80	69	24
5.697	-0.39	0.83	69	24
5.730	-0.48	0.72	69	24
5.762	-0.41	0.71	69	24
5.795	-0.33	0.88	69	24
5.827	-0.35	1.10	69	24
5.860	-0.38	1.30	69	24
5.892	-0.41	1.55	69	24
5.925	-0.30	1.66	69	24
5.957	-0.38	1.61	69	24
5.990	-0.36	1.51	69	24
6.022	-0.37	1.59	69	24
6.055	-0.23	1.70	69	24
6.087	-0.31	1.64	69	24
6.120	-0.69	1.64	69	24
6.152	-0.64	1.50	69	24
6.185	-0.24	1.52	69	24
6.217	-0.32	1.60	69	24
6.250	-0.07	1.71	69	24
6.282	0.01	1.88	69	24
6.315	-0.28	1.65	69	24
6.347	-0.21	1.56	69	24
6.380	-0.18	1.59	69	24
6.412	-0.29	1.50	69	24
6.445	-0.32	1.53	69	24
6.478	-0.20	1.43	69	24
6.510	-0.33	1.32	69	24
6.543	-0.30	1.21	69	24
6.575	-0.37	1.16	69	24
6.608	-0.33	0.94	69	24
6.640	-0.36	0.86	69	24
6.673	-0.40	0.71	69	24
6.705	-0.46	0.58	69	24
6.738	-0.52	0.57	69	24
6.770	-0.50	0.40	69	24
6.803	-0.47	0.34	69	24
6.835	-0.32	0.47	69	24
6.868	-0.53	0.23	69	24
6.900	-0.56	0.19	69	24
6.933	-0.57	0.19	69	24
6.965	-0.58	0.19	69	24
6.998	-0.58	0.17	69	24
7.030	-0.58	0.17	69	24
7.063	-0.58	0.17	69	24
7.095	-0.59	0.18	69	24
7.128	-0.60	0.18	69	24
7.160	-0.60	0.19	69	24
7.193	-0.60	0.19	69	24
7.226	-0.60	0.20	69	24
7.258	-0.61	0.21	69	24
7.291	-0.61	0.22	69	24
7.323	-0.61	0.22	69	24
7.356	-0.62	0.23	69	24
7.388	-0.62	0.23	69	24
7.421	-0.63	0.24	69	24
7.453	-0.62	0.24	69	24
7.486	-0.62	0.25	69	24
7.518	-0.62	0.26	69	24
7.551	-0.62	0.27	69	24
7.583	-0.62	0.28	69	24
7.616	-0.62	0.30	69	24
7.648	-0.62	0.32	69	24
7.681	-0.62	0.33	69	24
7.713	-0.62	0.34	69	24
7.746	-0.63	0.36	69	24
7.778	-0.63	0.37	69	24
7.811	-0.64	0.38	69	24
7.843	-0.65	0.37	69	24
7.876	-0.66	0.36	69	24
7.909	-0.67	0.35	69	24
7.941	-0.67	0.34	69	24
7.974	-0.67	0.33	69	24
8.006	-0.67	0.32	69	24
8.039	-0.68	0.30	69	24
8.071	-0.68	0.29	69	24
8.104	-0.69	0.28	69	24
8.136	-0.69	0.26	69	24
8.169	-0.69	0.26	69	24
8.201	-0.69	0.25	69	24
8.234	-0.70	0.26	69	24
8.266	-0.71	0.26	69	24
8.299	-0.70	0.27	69	24
8.331	-0.69	0.27	69	24
8.364	-0.68	0.26	69	24
8.396	-0.67	0.27	69	24
8.429	-0.66	0.27	69	24
8.461	-0.65	0.28	69	24
8.494	-0.64	0.29	69	24
8.526	-0.63	0.28	69	24
8.559	-0.62	0.27	69	24
8.591	-0.61	0.27	69	24
8.624	-0.61	0.28	69	24
8.657	-0.61	0.29	69	24
8.689	-0.60	0.29	69	24
8.722	-0.59	0.30	69	24
8.754	-0.58	0.30	69	24
8.787	-0.58	0.29	69	24
8.819	-0.57	0.27	69	24
8.852	-0.55	0.27	69	24
8.884	-0.54	0.27	69	24
8.917	-0.53	0.27	69	24
8.949	-0.52	0.27	69	24
8.982	-0.52	0.28	69	24
9.014	-0.52	0.29	69	24
9.047	-0.51	0.29	69	24
9.079	-0.50	0.28	69	24
9.112	-0.50	0.27	69	24
9.144	-0.48	0.26	69	24
9.177	-0.48	0.25	69	24
9.209	-0.47	0.23	69	24
9.242	-0.48	0.22	69	24
