20180228080000
20180228100000
z(m)	mdv_mn(m/s)	mdv_std(m/s)	lwp_mn(g/m2)	lwp_std(g/m2)
2.406	-0.70	0.57	389	48
2.418	-0.69	0.57	389	48
2.429	-0.68	0.58	389	48
2.440	-0.67	0.59	389	48
2.451	-0.67	0.60	389	48
2.477	-0.65	0.57	389	48
2.510	-0.62	0.58	389	48
2.542	-0.58	0.60	389	48
2.575	-0.55	0.60	389	48
2.607	-0.52	0.59	389	48
2.640	-0.51	0.59	389	48
2.672	-0.48	0.59	389	48
2.705	-0.46	0.60	389	48
2.738	-0.44	0.60	389	48
2.770	-0.42	0.61	389	48
2.803	-0.39	0.62	389	48
2.835	-0.35	0.62	389	48
2.868	-0.33	0.62	389	48
2.900	-0.30	0.63	389	48
2.933	-0.28	0.62	389	48
2.965	-0.26	0.61	389	48
2.998	-0.25	0.59	389	48
3.030	-0.24	0.57	389	48
3.063	-0.23	0.55	389	48
3.095	-0.22	0.54	389	48
3.128	-0.22	0.53	389	48
3.160	-0.25	0.51	389	48
3.193	-0.26	0.49	389	48
3.225	-0.27	0.46	389	48
3.258	-0.27	0.45	389	48
3.290	-0.28	0.45	389	48
3.323	-0.29	0.45	389	48
3.355	-0.30	0.43	389	48
3.388	-0.30	0.42	389	48
3.420	-0.31	0.41	389	48
3.453	-0.31	0.41	389	48
3.486	-0.31	0.39	389	48
3.518	-0.31	0.38	389	48
3.551	-0.30	0.36	389	48
3.583	-0.29	0.35	389	48
3.616	-0.27	0.34	389	48
3.648	-0.26	0.34	389	48
3.681	-0.23	0.34	389	48
3.713	-0.19	0.34	389	48
3.746	-0.16	0.33	389	48
3.778	-0.14	0.33	389	48
3.811	-0.12	0.33	389	48
3.843	-0.11	0.32	389	48
3.876	-0.11	0.31	389	48
3.908	-0.10	0.31	389	48
3.941	-0.10	0.31	389	48
3.973	-0.11	0.30	389	48
4.006	-0.10	0.30	389	48
4.038	-0.11	0.31	389	48
4.071	-0.12	0.31	389	48
4.103	-0.12	0.31	389	48
4.136	-0.13	0.31	389	48
4.168	-0.13	0.31	389	48
4.201	-0.14	0.31	389	48
4.234	-0.15	0.31	389	48
4.266	-0.15	0.31	389	48
4.299	-0.16	0.31	389	48
4.331	-0.17	0.31	389	48
4.364	-0.19	0.30	389	48
4.396	-0.20	0.30	389	48
4.429	-0.22	0.30	389	48
4.461	-0.24	0.30	389	48
4.494	-0.26	0.29	389	48
4.526	-0.29	0.28	389	48
4.559	-0.32	0.27	389	48
4.591	-0.34	0.26	389	48
4.624	-0.37	0.25	389	48
4.656	-0.40	0.25	389	48
4.689	-0.43	0.24	389	48
4.721	-0.46	0.22	389	48
4.754	-0.49	0.22	389	48
4.786	-0.52	0.21	389	48
4.819	-0.54	0.21	389	48
4.851	-0.56	0.22	389	48
4.884	-0.58	0.22	389	48
4.916	-0.60	0.22	389	48
4.949	-0.62	0.22	389	48
4.982	-0.63	0.22	389	48
5.014	-0.64	0.21	389	48
5.047	-0.65	0.21	389	48
5.079	-0.66	0.21	389	48
5.112	-0.68	0.21	389	48
5.144	-0.69	0.21	389	48
5.177	-0.70	0.21	389	48
5.209	-0.71	0.21	389	48
5.242	-0.72	0.22	389	48
5.274	-0.72	0.23	389	48
5.307	-0.72	0.23	389	48
5.339	-0.73	0.23	389	48
5.372	-0.73	0.23	389	48
5.404	-0.74	0.23	389	48
5.437	-0.74	0.22	389	48
5.469	-0.74	0.22	389	48
5.502	-0.74	0.22	389	48
5.534	-0.74	0.22	389	48
5.567	-0.74	0.22	389	48
5.599	-0.73	0.22	389	48
5.632	-0.73	0.23	389	48
5.664	-0.73	0.23	389	48
5.697	-0.73	0.23	389	48
5.730	-0.73	0.24	389	48
5.762	-0.73	0.24	389	48
5.795	-0.72	0.24	389	48
5.827	-0.73	0.24	389	48
5.860	-0.72	0.25	389	48
5.892	-0.72	0.25	389	48
5.925	-0.72	0.26	389	48
5.957	-0.71	0.26	389	48
5.990	-0.71	0.26	389	48
6.022	-0.70	0.26	389	48
6.055	-0.69	0.25	389	48
6.087	-0.69	0.25	389	48
6.120	-0.68	0.25	389	48
6.152	-0.67	0.25	389	48
6.185	-0.67	0.25	389	48
6.217	-0.66	0.24	389	48
6.250	-0.65	0.23	389	48
6.282	-0.64	0.23	389	48
6.315	-0.63	0.22	389	48
6.347	-0.63	0.22	389	48
6.380	-0.62	0.22	389	48
6.412	-0.61	0.21	389	48
6.445	-0.61	0.21	389	48
6.478	-0.60	0.21	389	48
6.510	-0.60	0.21	389	48
6.543	-0.60	0.22	389	48
6.575	-0.59	0.22	389	48
6.608	-0.59	0.22	389	48
6.640	-0.58	0.23	389	48
6.673	-0.58	0.23	389	48
6.705	-0.58	0.23	389	48
6.738	-0.57	0.24	389	48
6.770	-0.57	0.24	389	48
6.803	-0.57	0.25	389	48
6.835	-0.56	0.25	389	48
6.868	-0.56	0.26	389	48
6.900	-0.55	0.27	389	48
6.933	-0.55	0.27	389	48
6.965	-0.54	0.27	389	48
6.998	-0.53	0.27	389	48
7.030	-0.52	0.28	389	48
7.063	-0.52	0.28	389	48
7.095	-0.51	0.28	389	48
7.128	-0.49	0.27	389	48
7.160	-0.48	0.27	389	48
7.193	-0.47	0.27	389	48
7.226	-0.45	0.27	389	48
7.258	-0.44	0.27	389	48
7.291	-0.42	0.28	389	48
7.323	-0.40	0.29	389	48
7.356	-0.38	0.29	389	48
7.388	-0.36	0.29	389	48
7.421	-0.36	0.28	389	48
7.453	-0.34	0.29	389	48
7.486	-0.34	0.28	389	48
7.518	-0.34	0.27	389	48
7.551	-0.34	0.28	389	48
7.583	-0.33	0.28	389	48
7.616	-0.33	0.28	389	48
7.648	-0.32	0.31	389	48
7.681	-0.32	0.29	389	48
7.713	-0.31	0.30	389	48
7.746	-0.30	0.31	389	48
7.778	-0.30	0.34	389	48
7.811	-0.28	0.35	389	48
7.843	-0.28	0.34	389	48
7.876	-0.27	0.30	389	48
7.909	-0.25	0.34	389	48
7.941	-0.26	0.34	389	48
7.974	-0.24	0.35	389	48
8.006	-0.23	0.38	389	48
8.039	-0.23	0.39	389	48
8.071	-0.23	0.38	389	48
8.104	-0.23	0.40	389	48
8.136	-0.22	0.40	389	48
8.169	-0.20	0.39	389	48
8.201	-0.18	0.41	389	48
8.234	-0.19	0.47	389	48
8.266	-0.19	0.46	389	48
8.299	-0.17	0.48	389	48
8.331	-0.17	0.48	389	48
8.364	-0.15	0.51	389	48
8.396	-0.15	0.51	389	48
8.429	-0.14	0.54	389	48
8.461	-0.15	0.51	389	48
8.494	-0.15	0.57	389	48
8.526	-0.13	0.53	389	48
8.559	-0.13	0.60	389	48
8.591	-0.12	0.58	389	48
8.624	-0.13	0.56	389	48
8.657	-0.11	0.59	389	48
8.689	-0.12	0.57	389	48
8.722	-0.12	0.62	389	48
8.754	-0.08	0.62	389	48
8.787	-0.08	0.56	389	48
8.819	-0.07	0.56	389	48
8.852	-0.08	0.59	389	48
8.884	-0.06	0.61	389	48
8.917	-0.06	0.58	389	48
8.949	-0.05	0.61	389	48
8.982	-0.04	0.59	389	48
9.014	-0.05	0.57	389	48
9.047	-0.04	0.58	389	48
9.079	-0.04	0.60	389	48
9.112	-0.04	0.56	389	48
9.144	-0.04	0.62	389	48
9.177	-0.02	0.57	389	48
9.209	-0.03	0.62	389	48
9.242	-0.05	0.62	389	48
9.274	-0.02	0.63	389	48
9.307	0.01	0.64	389	48
9.339	-0.02	0.69	389	48
9.372	-0.03	0.70	389	48
9.405	-0.02	0.68	389	48
9.437	-0.04	0.67	389	48
9.470	-0.03	0.75	389	48
9.502	-0.05	0.79	389	48
9.535	-0.03	0.80	389	48
9.567	-0.00	0.83	389	48
9.600	0.03	0.84	389	48
9.632	-0.01	0.90	389	48
9.665	0.06	0.92	389	48
9.697	0.02	0.97	389	48
9.730	0.04	0.97	389	48
9.762	0.08	0.96	389	48
9.795	0.11	1.03	389	48
9.827	0.10	1.05	389	48
9.860	0.11	1.06	389	48
9.892	0.08	1.11	389	48
9.925	0.20	1.11	389	48
9.957	0.15	1.17	389	48
9.990	0.20	1.19	389	48
10.022	0.21	1.26	389	48
10.055	0.09	1.28	389	48
10.087	0.03	1.24	389	48
10.120	-0.05	1.25	389	48
10.153	-0.07	1.32	389	48
10.185	0.05	1.27	389	48
10.218	0.03	1.31	389	48
10.250	0.06	1.35	389	48
10.283	0.12	1.36	389	48
10.315	0.12	1.41	389	48
10.348	0.10	1.40	389	48
10.380	0.15	1.45	389	48
10.413	0.23	1.38	389	48
10.445	0.00	0.00	389	48
