20180228080000
20180228100000
z(m)	mdv_mn(m/s)	mdv_std(m/s)	lwp_mn(g/m2)	lwp_std(g/m2)
0.562	-1.20	0.69	389	48
0.567	-1.20	0.68	389	48
0.573	-1.19	0.67	389	48
0.578	-1.19	0.65	389	48
0.584	-1.18	0.64	389	48
0.590	-1.18	0.63	389	48
0.595	-1.18	0.62	389	48
0.601	-1.18	0.61	389	48
0.606	-1.18	0.60	389	48
0.612	-1.18	0.61	389	48
0.618	-1.18	0.61	389	48
0.623	-1.17	0.60	389	48
0.629	-1.17	0.60	389	48
0.634	-1.17	0.61	389	48
0.640	-1.17	0.61	389	48
0.645	-1.17	0.62	389	48
0.651	-1.17	0.62	389	48
0.657	-1.17	0.63	389	48
0.662	-1.18	0.64	389	48
0.668	-1.18	0.64	389	48
0.673	-1.18	0.65	389	48
0.679	-1.18	0.65	389	48
0.685	-1.18	0.65	389	48
0.690	-1.18	0.65	389	48
0.696	-1.18	0.66	389	48
0.701	-1.18	0.66	389	48
0.707	-1.18	0.67	389	48
0.713	-1.18	0.68	389	48
0.718	-1.17	0.68	389	48
0.724	-1.17	0.69	389	48
0.729	-1.17	0.70	389	48
0.735	-1.17	0.70	389	48
0.741	-1.17	0.70	389	48
0.746	-1.17	0.71	389	48
0.752	-1.17	0.71	389	48
0.757	-1.17	0.72	389	48
0.763	-1.15	0.73	389	48
0.768	-1.14	0.74	389	48
0.774	-1.15	0.75	389	48
0.780	-1.16	0.76	389	48
0.785	-1.16	0.76	389	48
0.791	-1.15	0.76	389	48
0.796	-1.15	0.76	389	48
0.802	-1.15	0.77	389	48
0.808	-1.15	0.77	389	48
0.813	-1.14	0.77	389	48
0.819	-1.13	0.77	389	48
0.824	-1.13	0.78	389	48
0.830	-1.13	0.78	389	48
0.836	-1.14	0.79	389	48
0.841	-1.13	0.78	389	48
0.847	-1.13	0.78	389	48
0.852	-1.13	0.78	389	48
0.858	-1.12	0.78	389	48
0.864	-1.11	0.78	389	48
0.869	-1.11	0.77	389	48
0.875	-1.10	0.76	389	48
0.880	-1.10	0.76	389	48
0.886	-1.10	0.76	389	48
0.891	-1.10	0.76	389	48
0.897	-1.09	0.75	389	48
0.903	-1.09	0.75	389	48
0.908	-1.10	0.74	389	48
0.914	-1.10	0.74	389	48
0.919	-1.09	0.74	389	48
0.925	-1.09	0.73	389	48
0.931	-1.08	0.73	389	48
0.936	-1.09	0.73	389	48
0.942	-1.08	0.73	389	48
0.947	-1.08	0.72	389	48
0.953	-1.08	0.71	389	48
0.959	-1.07	0.71	389	48
0.964	-1.06	0.71	389	48
0.970	-1.05	0.71	389	48
0.975	-1.04	0.71	389	48
0.981	-1.03	0.71	389	48
0.987	-1.03	0.71	389	48
0.992	-1.03	0.71	389	48
0.998	-1.03	0.70	389	48
1.003	-1.03	0.69	389	48
1.009	-1.03	0.69	389	48
1.014	-1.03	0.69	389	48
1.020	-1.03	0.69	389	48
1.026	-1.02	0.70	389	48
1.031	-1.02	0.70	389	48
1.037	-1.01	0.69	389	48
1.042	-1.00	0.68	389	48
1.048	-1.00	0.67	389	48
1.054	-0.99	0.68	389	48
1.059	-0.99	0.69	389	48
1.065	-1.00	0.66	389	48
1.076	-1.00	0.65	389	48
1.087	-1.01	0.63	389	48
1.098	-1.01	0.63	389	48
1.109	-1.01	0.62	389	48
1.121	-1.01	0.62	389	48
1.132	-1.01	0.61	389	48
1.143	-1.01	0.61	389	48
1.154	-1.01	0.60	389	48
1.165	-1.01	0.58	389	48
1.177	-1.01	0.58	389	48
1.188	-1.00	0.57	389	48
1.199	-1.00	0.57	389	48
1.210	-1.00	0.56	389	48
1.221	-1.00	0.54	389	48
1.232	-0.99	0.53	389	48
1.244	-0.99	0.52	389	48
1.255	-0.99	0.51	389	48
1.266	-0.99	0.51	389	48
1.277	-0.99	0.50	389	48
1.288	-0.99	0.49	389	48
1.300	-0.99	0.49	389	48
1.311	-1.00	0.48	389	48
1.322	-1.00	0.48	389	48
1.333	-1.00	0.47	389	48
1.344	-1.00	0.46	389	48
1.355	-1.00	0.45	389	48
1.367	-1.00	0.45	389	48
1.378	-1.00	0.44	389	48
1.389	-1.00	0.44	389	48
1.400	-1.00	0.44	389	48
1.411	-1.00	0.43	389	48
1.422	-1.00	0.43	389	48
1.434	-1.00	0.42	389	48
1.445	-1.00	0.42	389	48
1.456	-1.00	0.41	389	48
1.467	-1.00	0.41	389	48
1.478	-1.00	0.41	389	48
1.490	-1.00	0.40	389	48
1.501	-1.00	0.40	389	48
1.512	-1.00	0.39	389	48
1.523	-1.00	0.39	389	48
1.534	-1.00	0.39	389	48
1.545	-1.00	0.39	389	48
1.557	-1.01	0.38	389	48
1.568	-1.01	0.37	389	48
1.579	-1.01	0.37	389	48
1.590	-1.01	0.37	389	48
1.601	-1.01	0.36	389	48
1.613	-1.02	0.36	389	48
1.624	-1.02	0.36	389	48
1.635	-1.02	0.35	389	48
1.646	-1.02	0.35	389	48
1.657	-1.02	0.35	389	48
1.668	-1.02	0.35	389	48
1.680	-1.03	0.35	389	48
1.691	-1.03	0.35	389	48
1.702	-1.03	0.34	389	48
1.713	-1.03	0.34	389	48
1.724	-1.04	0.34	389	48
1.736	-1.04	0.34	389	48
1.747	-1.04	0.34	389	48
1.758	-1.04	0.34	389	48
1.769	-1.04	0.34	389	48
1.780	-1.04	0.34	389	48
1.791	-1.04	0.34	389	48
1.803	-1.04	0.34	389	48
1.814	-1.04	0.34	389	48
1.825	-1.04	0.34	389	48
1.836	-1.03	0.34	389	48
1.847	-1.03	0.35	389	48
1.859	-1.03	0.35	389	48
1.870	-1.03	0.35	389	48
1.881	-1.03	0.36	389	48
1.892	-1.02	0.36	389	48
1.903	-1.02	0.36	389	48
1.914	-1.02	0.36	389	48
1.926	-1.01	0.37	389	48
1.937	-1.01	0.37	389	48
1.948	-1.00	0.38	389	48
1.959	-1.00	0.38	389	48
1.970	-1.00	0.39	389	48
1.981	-0.99	0.39	389	48
1.993	-0.99	0.39	389	48
2.004	-0.98	0.38	389	48
2.015	-0.98	0.39	389	48
2.026	-0.97	0.39	389	48
2.037	-0.97	0.39	389	48
2.049	-0.96	0.39	389	48
2.060	-0.96	0.40	389	48
2.071	-0.95	0.41	389	48
2.082	-0.94	0.41	389	48
2.093	-0.93	0.41	389	48
2.104	-0.92	0.41	389	48
2.116	-0.91	0.41	389	48
2.127	-0.91	0.41	389	48
2.138	-0.90	0.41	389	48
2.149	-0.89	0.42	389	48
2.160	-0.88	0.42	389	48
2.172	-0.88	0.43	389	48
2.183	-0.87	0.44	389	48
2.194	-0.86	0.45	389	48
2.205	-0.85	0.46	389	48
2.216	-0.85	0.48	389	48
2.227	-0.84	0.49	389	48
2.239	-0.83	0.49	389	48
2.250	-0.82	0.50	389	48
2.261	-0.81	0.51	389	48
2.272	-0.80	0.52	389	48
2.283	-0.80	0.53	389	48
2.295	-0.78	0.52	389	48
2.306	-0.77	0.52	389	48
2.317	-0.77	0.53	389	48
2.328	-0.76	0.54	389	48
2.339	-0.76	0.55	389	48
2.350	-0.76	0.56	389	48
2.362	-0.75	0.57	389	48
2.373	-0.74	0.56	389	48
2.384	-0.72	0.56	389	48
2.395	-0.71	0.56	389	48
