20180304234000
20180305003000
z(m)	zh_mn(dBZ)	zh_std(dB)	zdr_mn(db)	zdr_std(dB)	kdp_mn(deg/km)	kdp_std(deg/km)	rhv_mn	rhv_std
5.065	8.0	4.54	3.04	1.00	0.01	0.01	0.951	0.087
5.115	7.7	4.78	3.08	1.15	0.01	0.02	0.952	0.055
5.165	7.3	4.61	3.21	1.24	0.00	0.01	0.950	0.107
5.215	6.8	4.48	3.27	1.15	0.00	0.00	0.956	0.102
5.265	6.1	4.16	3.33	1.19	0.00	0.00	0.957	0.066
5.315	4.9	4.61	3.69	1.21	0.00	0.00	0.955	0.091
5.365	3.2	4.94	3.94	1.27	0.00	0.00	0.952	0.122
5.415	2.0	5.74	3.81	1.21	0.00	0.00	0.945	0.157
5.465	1.3	5.62	3.71	1.35	0.00	0.00	0.955	0.093
5.515	-1.0	6.84	3.30	1.22	0.00	0.00	0.934	0.257
5.565	0.5	5.44	3.63	1.36	0.00	0.00	0.946	0.150
5.615	-0.4	4.86	3.67	1.21	0.00	0.00	0.941	0.128
5.665	-2.5	5.27	3.41	1.56	0.00	0.00	0.810	0.445
5.715	-3.3	4.13	3.52	1.66	0.00	0.00	0.958	0.074
5.765	-3.6	2.24	4.38	1.07	0.00	0.00	0.930	0.071
5.815	-4.4	2.05	3.95	0.67	0.00	0.00	0.918	0.160
5.865	-4.8	2.49	2.68	1.72	0.00	0.00	0.947	0.162
5.915	-6.0	2.36	2.83	1.76	0.00	0.00	0.869	0.173
5.965	-7.7	1.61	3.83	1.30	0.00	0.00	0.923	0.230
6.015	-8.9	1.23	2.61	1.27	0.00	0.00	0.920	0.294
6.065	-8.6	1.11	2.95	0.66	0.00	0.00	0.855	0.128
6.115	-8.7	0.97	3.65	0.86	0.00	0.00	0.906	0.173
6.165	-10.0	0.85	3.38	1.24	0.00	0.00	0.887	0.248
6.215	-9.9	0.52	3.22	1.45	0.00	0.00	0.868	0.475
6.265	-11.1	1.74	2.79	1.20	0.00	0.00	0.842	0.081
6.315	-10.5	1.09	2.77	1.38	0.00	0.00	0.969	0.000
6.365	-10.4	0.31	3.40	1.26	0.00	0.00	0.957	0.006
6.415	-11.4	1.22	4.60	0.51	0.00	0.00	0.978	0.000
6.465	-10.5	0.14	4.53	0.23	0.00	0.00	0.747	0.071
6.515	0.0	0.00	0.00	0.00	0.00	0.00	0.000	0.000
6.565	0.0	0.00	0.00	0.00	0.00	0.00	0.000	0.000
6.615	0.0	0.00	0.00	0.00	0.00	0.00	0.000	0.000
6.665	0.0	0.00	0.00	0.00	0.00	0.00	0.000	0.000
6.715	-10.6	0.00	2.10	0.00	0.00	0.00	0.891	0.000
6.765	0.0	0.00	0.00	0.00	0.00	0.00	0.000	0.000
6.815	-11.2	0.00	-0.72	0.00	0.00	0.00	0.948	0.000
6.865	-10.8	0.55	0.86	1.04	0.00	0.00	0.823	0.219
6.915	-11.6	0.46	1.95	1.11	0.00	0.00	0.922	0.324
6.965	-10.9	0.60	0.22	0.52	0.00	0.00	0.909	0.139
7.015	-11.8	0.12	1.26	0.57	0.00	0.00	0.925	0.935
7.065	-10.9	0.32	0.55	0.24	0.00	0.00	0.993	0.000
7.115	-9.8	0.07	-0.64	0.53	0.00	0.00	0.858	0.230
7.165	-10.4	0.98	-0.79	1.13	0.00	0.00	0.886	0.189
7.215	-10.7	1.73	0.14	0.34	0.00	0.00	0.849	0.344
7.265	-9.3	1.13	0.11	1.05	0.00	0.00	0.979	0.783
7.315	-9.8	1.34	-0.25	0.43	0.00	0.00	0.995	0.406
7.365	-9.9	1.67	0.90	0.70	0.00	0.00	0.972	0.175
7.415	-9.4	1.12	0.59	1.29	0.00	0.00	0.942	0.236
7.465	-9.4	0.95	0.94	0.83	0.00	0.00	0.936	0.383
7.515	-8.7	0.83	0.91	0.74	0.00	0.00	0.934	0.319
7.565	-9.4	1.21	0.62	1.10	0.00	0.00	0.954	0.347
7.615	-9.1	1.34	0.63	0.67	0.00	0.00	0.944	0.283
7.665	-9.9	2.62	-0.32	1.05	0.00	0.00	0.964	0.221
7.715	-8.9	1.83	1.00	0.73	0.00	0.00	0.973	0.140
7.765	-9.5	1.48	1.04	1.34	0.00	0.00	0.960	0.250
7.815	-9.7	2.63	0.10	0.73	0.00	0.00	0.981	0.272
7.865	-8.7	1.63	0.80	1.26	0.00	0.00	0.926	0.288
7.915	-8.5	2.72	0.29	0.80	0.00	0.00	0.964	0.143
7.965	-8.3	2.26	0.24	0.60	0.00	0.00	0.916	0.339
8.015	-7.2	2.34	0.25	0.30	0.00	0.01	0.949	0.138
8.065	-7.5	2.34	0.33	0.83	0.00	0.01	0.954	0.287
8.115	-7.0	2.84	0.39	0.46	0.01	0.02	0.956	0.229
8.165	-6.4	2.65	0.54	0.50	0.00	0.01	0.964	0.243
8.215	-5.7	2.94	0.16	0.65	0.00	0.01	0.976	0.262
8.265	-5.0	2.71	0.39	0.42	0.02	0.03	0.967	0.160
8.315	-4.8	2.11	0.37	0.36	0.01	0.02	0.979	0.290
8.365	-4.6	1.84	0.43	0.27	0.04	0.06	0.959	0.198
8.415	-5.5	1.96	0.13	0.51	0.02	0.03	0.965	0.080
8.465	-5.5	1.66	0.33	0.35	0.01	0.02	0.961	0.190
8.515	-5.3	1.50	0.30	0.30	0.00	0.00	0.969	0.248
8.565	-5.4	1.01	0.25	0.20	0.01	0.01	0.961	0.275
8.615	-5.5	1.27	0.38	0.36	0.00	0.00	0.963	0.288
8.665	-5.3	0.87	0.23	0.33	0.00	0.00	0.963	0.124
8.715	-5.5	1.20	0.25	0.36	0.01	0.02	0.968	0.141
8.765	-5.9	1.43	0.23	0.43	0.00	0.00	0.953	0.182
