pres	tc	td	wspd	wdir	alt
927	1.30	-7.50	4.11	290	771
927	1.65	-7.70	5.97	244	776
926	1.54	-7.80	5.95	244	782
925	1.45	-7.80	5.93	244	790
925	1.41	-7.80	5.90	244	793
924	1.34	-7.80	5.89	244	795
924	1.23	-7.90	5.86	244	800
924	1.23	-7.80	5.83	244	804
923	1.14	-7.80	5.79	244	812
922	1.07	-7.80	5.73	245	818
921	0.98	-7.90	5.69	245	824
920	0.94	-7.90	5.66	245	831
920	0.87	-7.90	5.64	245	838
919	0.83	-7.90	5.63	245	844
918	0.76	-7.90	5.62	246	850
918	0.71	-7.90	5.66	246	857
917	0.69	-7.80	5.70	245	861
916	0.62	-7.80	5.72	246	868
916	0.58	-7.90	5.76	246	874
915	0.54	-7.90	5.80	246	875
914	0.47	-7.90	5.84	246	883
914	0.42	-7.90	5.90	245	888
913	0.36	-7.90	5.96	245	894
913	0.29	-7.90	5.99	245	899
912	0.24	-7.90	6.00	245	904
912	0.18	-8.00	6.03	245	909
911	0.11	-8.00	6.04	246	915
910	0.07	-8.00	6.06	246	922
909	0.00	-8.00	6.07	246	928
909	-0.05	-8.10	6.06	246	934
908	-0.09	-8.00	6.10	246	940
907	-0.13	-8.00	6.15	247	946
907	-0.22	-8.10	6.18	247	952
906	-0.27	-8.10	6.22	248	959
905	-0.31	-8.10	6.30	248	965
904	-0.40	-8.10	6.43	248	971
904	-0.45	-8.10	6.56	249	978
903	-0.51	-8.10	6.65	249	984
902	-0.58	-8.10	6.74	249	991
902	-0.62	-8.10	6.88	250	997
901	-0.69	-8.10	7.07	250	1004
900	-0.76	-8.10	7.24	250	1011
899	-0.85	-8.10	7.40	250	1019
898	-0.94	-8.10	7.58	250	1027
897	-1.00	-8.20	7.76	250	1034
897	-1.07	-8.20	7.92	250	1041
896	-1.14	-8.20	8.04	250	1048
895	-1.23	-8.20	8.16	250	1056
894	-1.27	-8.10	8.29	250	1064
893	-1.32	-8.00	8.44	250	1069
893	-1.38	-7.90	8.55	250	1074
892	-1.43	-7.80	8.61	251	1082
891	-1.49	-7.80	8.64	251	1088
891	-1.56	-7.80	8.68	251	1095
890	-1.61	-7.70	8.72	251	1101
889	-1.70	-7.70	8.74	250	1108
888	-1.76	-7.60	8.76	250	1116
888	-1.83	-7.70	8.79	250	1122
887	-1.90	-7.70	8.81	250	1129
886	-1.96	-7.70	8.81	250	1136
885	-2.03	-7.80	8.79	249	1142
