20180223080000
20180223093000
z(m)	zh_mn(dBZ)	zh_std(dB)	zdr_mn(db)	zdr_std(dB)	kdp_mn(deg/km)	kdp_std(deg/km)	rhv_mn	rhv_std
2.665	3.7	5.82	1.25	1.10	0.01	0.02	0.96	0.02
2.715	2.4	6.11	1.24	1.15	0.01	0.01	0.95	0.02
2.765	0.7	5.87	1.29	1.24	0.01	0.02	0.95	0.02
2.815	-0.5	6.57	1.12	1.04	0.01	0.02	0.95	0.02
2.865	-2.4	6.93	0.95	1.12	0.01	0.03	0.95	0.04
2.915	-1.8	6.87	0.88	0.68	0.01	0.03	0.95	0.03
2.965	-3.1	6.87	1.08	0.66	0.01	0.02	0.94	0.03
3.015	-3.9	6.58	1.04	0.63	0.00	0.02	0.94	0.03
3.065	-4.4	6.90	1.13	0.94	0.01	0.02	0.94	0.06
3.115	-5.5	6.86	1.23	1.15	0.01	0.02	0.93	0.04
3.165	-3.4	7.04	0.65	0.56	0.00	0.00	0.95	0.03
3.215	-4.4	6.39	0.91	0.60	0.00	0.00	0.96	0.03
3.265	-6.2	6.49	0.82	0.62	0.00	0.00	0.91	0.07
3.315	-4.2	5.43	0.72	0.57	0.00	0.00	0.92	0.05
3.365	-5.5	5.55	0.75	0.69	0.00	0.00	0.91	0.08
3.415	-6.0	5.62	0.45	0.21	0.00	0.00	0.93	0.05
3.465	-3.8	5.56	0.50	0.37	0.00	0.00	0.98	0.02
3.515	-4.2	5.12	0.27	0.31	0.00	0.00	0.94	0.04
3.565	-5.5	5.20	0.50	0.60	0.00	0.00	0.97	0.02
3.615	-6.2	4.89	0.06	0.11	0.00	0.01	0.95	0.03
3.665	-5.8	4.38	-0.00	0.31	0.01	0.02	0.96	0.02
3.715	-6.4	4.81	0.42	0.30	0.00	0.00	0.93	0.05
3.765	-5.6	5.53	-0.02	0.42	0.00	0.00	0.92	0.07
3.815	-4.0	4.18	0.14	0.04	0.00	0.00	0.96	0.03
3.865	-7.7	3.53	0.88	0.75	0.00	0.00	0.91	0.07
3.915	-9.6	2.42	1.10	0.83	0.00	0.00	0.90	0.08
3.965	-9.6	1.23	0.39	0.16	0.00	0.00	0.97	0.02
4.015	-9.4	0.00	1.24	0.00	0.00	0.00	0.89	0.00
4.065	-9.5	0.00	0.93	0.00	0.00	0.00	0.91	0.00
4.115	-10.1	0.00	1.24	0.00	0.00	0.00	0.77	0.00
4.165	-10.5	0.00	0.17	0.00	0.00	0.00	0.90	0.00
4.215	-12.5	0.00	1.11	0.00	0.00	0.00	0.93	0.00
4.265	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.315	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.365	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.415	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.465	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.515	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.565	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.615	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.665	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.715	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.765	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.815	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.865	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.915	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.965	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.015	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.065	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.115	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.165	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.215	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.265	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.315	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.365	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.415	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.465	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.515	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.565	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.615	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.665	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.715	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.765	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.815	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.865	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.915	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.965	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.015	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.065	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.115	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.165	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.215	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.265	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.315	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.365	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.415	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.465	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.515	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.565	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.615	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.665	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.715	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.765	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.815	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.865	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.915	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.965	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.015	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.065	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.115	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.165	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.215	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.265	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.315	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.365	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.415	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.465	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.515	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.565	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.615	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.665	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.715	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.765	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.815	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.865	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.915	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.965	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8.015	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8.065	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8.115	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8.165	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8.215	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8.265	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8.315	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8.365	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8.415	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8.465	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8.515	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8.565	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8.615	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8.665	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8.715	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8.765	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
