20180223080000
20180223093000
z(m)	zh_mn(dBZ)	zh_std(dB)	zdr_mn(db)	zdr_std(dB)	kdp_mn(deg/km)	kdp_std(deg/km)	rhv_mn	rhv_std
0.815	-7.6	1.70	-2.53	2.41	0.00	0.00	0.76	0.11
0.865	-8.6	2.62	0.01	3.87	0.00	0.00	0.62	0.20
0.915	-9.0	0.90	-0.25	3.04	0.00	0.00	0.74	0.10
0.965	-6.5	1.91	-0.37	2.74	0.00	0.00	0.78	0.10
1.015	-3.5	2.50	-0.88	2.42	0.04	0.08	0.83	0.09
1.065	-0.7	1.74	0.02	2.33	0.08	0.23	0.83	0.10
1.115	0.6	2.78	0.09	1.82	0.17	0.45	0.77	0.07
1.165	5.5	2.36	1.06	2.27	0.09	0.29	0.68	0.14
1.215	9.7	3.61	0.56	2.81	0.14	0.49	0.70	0.10
1.265	11.8	4.40	-0.70	2.29	0.03	0.10	0.74	0.11
1.315	14.0	4.23	-1.20	1.93	0.03	0.10	0.80	0.14
1.365	11.4	4.09	-0.19	1.81	0.00	0.00	0.83	0.07
1.415	10.4	4.15	0.39	1.06	0.00	0.00	0.87	0.05
1.465	10.7	4.71	0.77	0.30	0.01	0.02	0.92	0.03
1.515	11.3	4.68	0.87	0.42	0.02	0.03	0.94	0.02
1.565	11.8	4.41	0.73	0.46	0.03	0.06	0.96	0.01
1.615	11.8	4.22	0.69	0.50	0.04	0.07	0.97	0.01
1.665	11.8	4.61	0.63	0.48	0.05	0.09	0.98	0.01
1.715	11.0	4.94	0.54	0.55	0.04	0.08	0.97	0.02
1.765	10.6	4.99	0.50	0.59	0.03	0.06	0.97	0.03
1.815	9.9	4.87	0.54	0.71	0.04	0.06	0.97	0.03
1.865	8.6	5.56	0.55	0.80	0.04	0.05	0.96	0.02
1.915	7.9	5.79	0.65	0.92	0.04	0.06	0.97	0.01
1.965	7.2	6.03	0.81	0.93	0.05	0.07	0.97	0.02
2.015	6.6	6.21	0.84	0.94	0.07	0.07	0.97	0.02
2.065	6.4	6.35	0.89	1.10	0.08	0.08	0.96	0.02
2.115	6.3	6.40	1.00	1.09	0.08	0.07	0.96	0.03
2.165	6.4	6.28	1.01	1.06	0.08	0.06	0.96	0.02
2.215	6.6	6.43	0.99	1.12	0.06	0.05	0.97	0.02
2.265	6.5	6.28	1.08	1.16	0.04	0.04	0.97	0.02
2.315	6.8	5.90	0.96	1.06	0.04	0.04	0.97	0.01
2.365	6.9	5.69	1.08	1.02	0.03	0.04	0.97	0.01
2.415	7.0	5.91	1.04	1.04	0.04	0.06	0.97	0.01
2.465	6.9	5.80	0.98	1.00	0.04	0.05	0.97	0.01
2.515	6.4	6.04	1.07	1.08	0.03	0.04	0.97	0.01
2.565	5.9	6.34	1.17	1.11	0.01	0.02	0.96	0.02
2.615	4.8	6.07	1.23	1.17	0.01	0.03	0.97	0.01
