20180223080000
20180223093000
z(m)	mdv_mn(m/s)	mdv_std(m/s)	lwp_mn(g/m2)	lwp_std(g/m2)
8.104	0.00	0.00	70	49
8.136	0.00	0.00	70	49
8.169	0.00	0.00	70	49
8.201	0.00	0.00	70	49
8.234	0.00	0.00	70	49
8.266	0.00	0.00	70	49
8.299	0.00	0.00	70	49
8.331	0.00	0.00	70	49
8.364	0.00	0.00	70	49
8.396	0.00	0.00	70	49
8.429	0.00	0.00	70	49
8.461	0.00	0.00	70	49
8.494	0.00	0.00	70	49
8.526	0.00	0.00	70	49
8.559	0.00	0.00	70	49
8.591	0.00	0.00	70	49
8.624	0.00	0.00	70	49
8.657	0.00	0.00	70	49
8.689	0.00	0.00	70	49
8.722	0.00	0.00	70	49
8.754	0.00	0.00	70	49
8.787	0.00	0.00	70	49
8.819	0.00	0.00	70	49
8.852	0.00	0.00	70	49
8.884	0.00	0.00	70	49
8.917	0.00	0.00	70	49
8.949	0.00	0.00	70	49
8.982	0.00	0.00	70	49
9.014	0.00	0.00	70	49
9.047	0.00	0.00	70	49
9.079	0.00	0.00	70	49
9.112	0.00	0.00	70	49
9.144	0.00	0.00	70	49
9.177	0.00	0.00	70	49
9.209	0.00	0.00	70	49
9.242	0.00	0.00	70	49
9.274	0.00	0.00	70	49
9.307	0.00	0.00	70	49
9.339	0.00	0.00	70	49
9.372	0.00	0.00	70	49
9.405	0.00	0.00	70	49
9.437	0.00	0.00	70	49
9.470	0.00	0.00	70	49
9.502	0.00	0.00	70	49
9.535	0.00	0.00	70	49
9.567	0.00	0.00	70	49
9.600	0.00	0.00	70	49
9.632	0.00	0.00	70	49
9.665	0.00	0.00	70	49
9.697	0.00	0.00	70	49
9.730	0.00	0.00	70	49
9.762	0.00	0.00	70	49
9.795	0.00	0.00	70	49
9.827	0.00	0.00	70	49
9.860	0.00	0.00	70	49
9.892	0.00	0.00	70	49
9.925	0.00	0.00	70	49
9.957	0.00	0.00	70	49
9.990	0.00	0.00	70	49
10.022	0.00	0.00	70	49
10.055	0.00	0.00	70	49
10.087	0.00	0.00	70	49
10.120	0.00	0.00	70	49
10.153	0.00	0.00	70	49
10.185	0.00	0.00	70	49
10.218	0.00	0.00	70	49
10.250	0.00	0.00	70	49
10.283	0.00	0.00	70	49
10.315	0.00	0.00	70	49
10.348	0.00	0.00	70	49
10.380	0.00	0.00	70	49
10.413	0.00	0.00	70	49
10.445	0.00	0.00	70	49
