20180223080000
20180223093000
z(m)	mdv_mn(m/s)	mdv_std(m/s)	lwp_mn(g/m2)	lwp_std(g/m2)
0.562	-0.75	0.94	70	49
0.567	-0.75	0.95	70	49
0.573	-0.77	0.95	70	49
0.578	-0.78	0.96	70	49
0.584	-0.77	0.97	70	49
0.590	-0.77	0.97	70	49
0.595	-0.79	0.98	70	49
0.601	-0.80	0.98	70	49
0.606	-0.80	0.98	70	49
0.612	-0.80	0.99	70	49
0.618	-0.80	1.00	70	49
0.623	-0.78	1.02	70	49
0.629	-0.77	1.03	70	49
0.634	-0.77	1.04	70	49
0.640	-0.77	1.05	70	49
0.645	-0.76	1.05	70	49
0.651	-0.75	1.05	70	49
0.657	-0.75	1.07	70	49
0.662	-0.74	1.09	70	49
0.668	-0.74	1.10	70	49
0.673	-0.74	1.08	70	49
0.679	-0.73	1.08	70	49
0.685	-0.73	1.09	70	49
0.690	-0.72	1.10	70	49
0.696	-0.72	1.11	70	49
0.701	-0.71	1.11	70	49
0.707	-0.71	1.11	70	49
0.713	-0.71	1.12	70	49
0.718	-0.72	1.13	70	49
0.724	-0.72	1.14	70	49
0.729	-0.72	1.13	70	49
0.735	-0.72	1.13	70	49
0.741	-0.72	1.13	70	49
0.746	-0.71	1.12	70	49
0.752	-0.70	1.11	70	49
0.757	-0.70	1.11	70	49
0.763	-0.71	1.11	70	49
0.768	-0.72	1.11	70	49
0.774	-0.71	1.10	70	49
0.780	-0.71	1.10	70	49
0.785	-0.72	1.10	70	49
0.791	-0.72	1.11	70	49
0.796	-0.72	1.12	70	49
0.802	-0.71	1.12	70	49
0.808	-0.70	1.12	70	49
0.813	-0.70	1.11	70	49
0.819	-0.70	1.11	70	49
0.824	-0.70	1.12	70	49
0.830	-0.70	1.13	70	49
0.836	-0.69	1.13	70	49
0.841	-0.69	1.14	70	49
0.847	-0.69	1.13	70	49
0.852	-0.69	1.13	70	49
0.858	-0.69	1.14	70	49
0.864	-0.68	1.14	70	49
0.869	-0.68	1.15	70	49
0.875	-0.68	1.16	70	49
0.880	-0.67	1.17	70	49
0.886	-0.66	1.18	70	49
0.891	-0.65	1.19	70	49
0.897	-0.64	1.19	70	49
0.903	-0.65	1.20	70	49
0.908	-0.65	1.20	70	49
0.914	-0.64	1.21	70	49
0.919	-0.63	1.21	70	49
0.925	-0.63	1.20	70	49
0.931	-0.62	1.20	70	49
0.936	-0.62	1.20	70	49
0.942	-0.62	1.18	70	49
0.947	-0.62	1.16	70	49
0.953	-0.62	1.16	70	49
0.959	-0.63	1.17	70	49
0.964	-0.63	1.17	70	49
0.970	-0.65	1.15	70	49
0.975	-0.66	1.13	70	49
0.981	-0.66	1.12	70	49
0.987	-0.65	1.11	70	49
0.992	-0.65	1.10	70	49
0.998	-0.64	1.08	70	49
1.003	-0.64	1.07	70	49
1.009	-0.64	1.08	70	49
1.014	-0.65	1.08	70	49
1.020	-0.65	1.06	70	49
1.026	-0.65	1.06	70	49
1.031	-0.64	1.06	70	49
1.037	-0.62	1.05	70	49
1.042	-0.62	1.04	70	49
1.048	-0.61	1.04	70	49
1.054	-0.61	1.05	70	49
1.059	-0.61	1.04	70	49
1.065	-0.60	1.00	70	49
1.076	-0.60	0.99	70	49
1.087	-0.60	0.98	70	49
1.098	-0.61	0.97	70	49
1.109	-0.60	0.96	70	49
1.121	-0.58	0.95	70	49
1.132	-0.58	0.95	70	49
1.143	-0.58	0.94	70	49
1.154	-0.57	0.94	70	49
1.165	-0.58	0.96	70	49
1.177	-0.59	0.95	70	49
1.188	-0.59	0.93	70	49
1.199	-0.59	0.90	70	49
1.210	-0.59	0.89	70	49
1.221	-0.60	0.89	70	49
1.232	-0.59	0.88	70	49
1.244	-0.60	0.87	70	49
1.255	-0.60	0.86	70	49
1.266	-0.59	0.86	70	49
1.277	-0.58	0.85	70	49
1.288	-0.58	0.83	70	49
1.300	-0.59	0.81	70	49
1.311	-0.59	0.80	70	49
1.322	-0.59	0.78	70	49
1.333	-0.59	0.75	70	49
1.344	-0.58	0.74	70	49
1.355	-0.58	0.72	70	49
1.367	-0.56	0.70	70	49
1.378	-0.55	0.68	70	49
1.389	-0.54	0.66	70	49
1.400	-0.55	0.65	70	49
1.411	-0.55	0.63	70	49
1.422	-0.55	0.61	70	49
1.434	-0.54	0.59	70	49
1.445	-0.54	0.57	70	49
1.456	-0.54	0.56	70	49
1.467	-0.53	0.55	70	49
1.478	-0.53	0.55	70	49
1.490	-0.54	0.55	70	49
1.501	-0.54	0.55	70	49
1.512	-0.54	0.54	70	49
1.523	-0.54	0.54	70	49
1.534	-0.54	0.54	70	49
1.545	-0.55	0.54	70	49
1.557	-0.54	0.53	70	49
1.568	-0.54	0.52	70	49
1.579	-0.55	0.51	70	49
1.590	-0.55	0.51	70	49
1.601	-0.54	0.52	70	49
1.613	-0.55	0.52	70	49
1.624	-0.55	0.52	70	49
1.635	-0.55	0.52	70	49
1.646	-0.55	0.52	70	49
1.657	-0.55	0.52	70	49
1.668	-0.55	0.52	70	49
1.680	-0.55	0.52	70	49
1.691	-0.56	0.52	70	49
1.702	-0.56	0.52	70	49
1.713	-0.55	0.52	70	49
1.724	-0.55	0.51	70	49
1.736	-0.54	0.52	70	49
1.747	-0.54	0.52	70	49
1.758	-0.54	0.53	70	49
1.769	-0.54	0.53	70	49
1.780	-0.54	0.54	70	49
1.791	-0.53	0.54	70	49
1.803	-0.53	0.54	70	49
1.814	-0.53	0.54	70	49
1.825	-0.53	0.54	70	49
1.836	-0.53	0.54	70	49
1.847	-0.53	0.54	70	49
1.859	-0.53	0.53	70	49
1.870	-0.53	0.53	70	49
1.881	-0.53	0.53	70	49
1.892	-0.53	0.53	70	49
1.903	-0.53	0.54	70	49
1.914	-0.54	0.55	70	49
1.926	-0.53	0.56	70	49
1.937	-0.53	0.56	70	49
1.948	-0.53	0.56	70	49
1.959	-0.53	0.56	70	49
1.970	-0.52	0.55	70	49
1.981	-0.52	0.55	70	49
1.993	-0.53	0.56	70	49
2.004	-0.53	0.56	70	49
2.015	-0.53	0.57	70	49
2.026	-0.52	0.57	70	49
2.037	-0.52	0.58	70	49
2.049	-0.52	0.59	70	49
2.060	-0.52	0.60	70	49
2.071	-0.52	0.60	70	49
2.082	-0.53	0.60	70	49
2.093	-0.53	0.60	70	49
2.104	-0.53	0.60	70	49
2.116	-0.53	0.61	70	49
2.127	-0.53	0.61	70	49
2.138	-0.53	0.62	70	49
2.149	-0.52	0.62	70	49
2.160	-0.52	0.61	70	49
2.172	-0.52	0.60	70	49
2.183	-0.52	0.60	70	49
2.194	-0.52	0.60	70	49
2.205	-0.53	0.61	70	49
2.216	-0.53	0.61	70	49
2.227	-0.54	0.60	70	49
2.239	-0.54	0.60	70	49
2.250	-0.54	0.60	70	49
2.261	-0.54	0.60	70	49
2.272	-0.54	0.61	70	49
2.283	-0.54	0.62	70	49
2.295	-0.55	0.63	70	49
2.306	-0.55	0.64	70	49
2.317	-0.55	0.63	70	49
2.328	-0.56	0.63	70	49
2.339	-0.57	0.63	70	49
2.350	-0.58	0.64	70	49
2.362	-0.59	0.65	70	49
2.373	-0.58	0.66	70	49
2.384	-0.59	0.66	70	49
2.395	-0.59	0.66	70	49
2.406	-0.60	0.66	70	49
2.418	-0.60	0.65	70	49
2.429	-0.61	0.64	70	49
2.440	-0.60	0.64	70	49
2.451	-0.61	0.64	70	49
2.477	-0.61	0.62	70	49
2.510	-0.61	0.63	70	49
2.542	-0.61	0.64	70	49
2.575	-0.60	0.64	70	49
2.607	-0.56	0.63	70	49
2.640	-0.54	0.62	70	49
2.672	-0.54	0.62	70	49
2.705	-0.54	0.62	70	49
2.738	-0.56	0.59	70	49
2.770	-0.58	0.57	70	49
2.803	-0.59	0.61	70	49
2.835	-0.61	0.59	70	49
2.868	-0.61	0.60	70	49
2.900	-0.64	0.58	70	49
2.933	-0.66	0.60	70	49
2.965	-0.67	0.58	70	49
2.998	-0.69	0.57	70	49
3.030	-0.72	0.56	70	49
3.063	-0.74	0.55	70	49
3.095	-0.76	0.56	70	49
3.128	-0.77	0.58	70	49
3.160	-0.75	0.57	70	49
3.193	-0.74	0.56	70	49
3.225	-0.73	0.55	70	49
3.258	-0.73	0.56	70	49
3.290	-0.71	0.55	70	49
3.323	-0.71	0.57	70	49
3.355	-0.76	0.61	70	49
3.388	-0.77	0.66	70	49
3.420	-0.80	0.69	70	49
3.453	-0.81	0.72	70	49
3.486	-0.84	0.65	70	49
3.518	-0.85	0.72	70	49
3.551	-0.88	0.77	70	49
3.583	-0.90	0.79	70	49
3.616	-0.89	0.81	70	49
3.648	-0.85	0.89	70	49
3.681	-0.74	1.00	70	49
3.713	-0.45	0.93	70	49
3.746	-0.41	0.71	70	49
3.778	-0.35	0.76	70	49
3.811	0.40	0.74	70	49
3.843	0.00	0.00	70	49
3.876	0.00	0.00	70	49
3.908	0.00	0.00	70	49
3.941	0.00	0.00	70	49
3.973	0.00	0.00	70	49
4.006	0.00	0.00	70	49
4.038	0.00	0.00	70	49
4.071	0.00	0.00	70	49
4.103	0.00	0.00	70	49
4.136	0.00	0.00	70	49
4.168	0.00	0.00	70	49
4.201	0.00	0.00	70	49
4.234	0.00	0.00	70	49
4.266	0.00	0.00	70	49
4.299	0.00	0.00	70	49
4.331	0.00	0.00	70	49
4.364	0.00	0.00	70	49
4.396	0.00	0.00	70	49
4.429	0.00	0.00	70	49
4.461	0.00	0.00	70	49
4.494	0.00	0.00	70	49
4.526	0.00	0.00	70	49
4.559	0.00	0.00	70	49
4.591	0.00	0.00	70	49
4.624	0.00	0.00	70	49
4.656	0.00	0.00	70	49
4.689	0.00	0.00	70	49
4.721	0.00	0.00	70	49
4.754	0.00	0.00	70	49
4.786	0.00	0.00	70	49
4.819	0.00	0.00	70	49
4.851	0.00	0.00	70	49
4.884	0.00	0.00	70	49
4.916	0.00	0.00	70	49
4.949	0.00	0.00	70	49
4.982	0.00	0.00	70	49
5.014	0.00	0.00	70	49
5.047	0.00	0.00	70	49
5.079	0.00	0.00	70	49
5.112	0.00	0.00	70	49
5.144	0.00	0.00	70	49
5.177	0.00	0.00	70	49
5.209	0.00	0.00	70	49
5.242	0.00	0.00	70	49
5.274	0.00	0.00	70	49
5.307	0.00	0.00	70	49
5.339	0.00	0.00	70	49
5.372	0.00	0.00	70	49
5.404	0.00	0.00	70	49
5.437	0.00	0.00	70	49
5.469	0.00	0.00	70	49
5.502	0.00	0.00	70	49
5.534	0.00	0.00	70	49
5.567	0.00	0.00	70	49
5.599	0.00	0.00	70	49
5.632	0.00	0.00	70	49
5.664	0.00	0.00	70	49
5.697	0.00	0.00	70	49
5.730	0.00	0.00	70	49
5.762	0.00	0.00	70	49
5.795	0.00	0.00	70	49
5.827	0.00	0.00	70	49
5.860	0.00	0.00	70	49
5.892	0.00	0.00	70	49
5.925	0.00	0.00	70	49
5.957	0.00	0.00	70	49
5.990	0.00	0.00	70	49
6.022	0.00	0.00	70	49
6.055	0.00	0.00	70	49
6.087	0.00	0.00	70	49
6.120	0.00	0.00	70	49
6.152	0.00	0.00	70	49
6.185	0.00	0.00	70	49
6.217	0.00	0.00	70	49
6.250	0.00	0.00	70	49
6.282	0.00	0.00	70	49
6.315	0.00	0.00	70	49
6.347	0.00	0.00	70	49
6.380	0.00	0.00	70	49
6.412	0.00	0.00	70	49
6.445	0.00	0.00	70	49
6.478	0.00	0.00	70	49
6.510	0.00	0.00	70	49
6.543	0.00	0.00	70	49
6.575	0.00	0.00	70	49
6.608	0.00	0.00	70	49
6.640	0.00	0.00	70	49
6.673	0.00	0.00	70	49
6.705	0.00	0.00	70	49
6.738	0.00	0.00	70	49
6.770	0.00	0.00	70	49
6.803	0.00	0.00	70	49
6.835	0.00	0.00	70	49
6.868	0.00	0.00	70	49
6.900	0.00	0.00	70	49
6.933	0.00	0.00	70	49
6.965	0.00	0.00	70	49
6.998	0.00	0.00	70	49
7.030	0.00	0.00	70	49
7.063	0.00	0.00	70	49
7.095	0.00	0.00	70	49
7.128	0.00	0.00	70	49
7.160	0.00	0.00	70	49
7.193	0.00	0.00	70	49
7.226	0.00	0.00	70	49
7.258	0.00	0.00	70	49
7.291	0.00	0.00	70	49
7.323	0.00	0.00	70	49
7.356	0.00	0.00	70	49
7.388	0.00	0.00	70	49
7.421	0.00	0.00	70	49
7.453	0.00	0.00	70	49
7.486	0.00	0.00	70	49
7.518	0.00	0.00	70	49
7.551	0.00	0.00	70	49
7.583	0.00	0.00	70	49
7.616	0.00	0.00	70	49
7.648	0.00	0.00	70	49
7.681	0.00	0.00	70	49
7.713	0.00	0.00	70	49
7.746	0.00	0.00	70	49
7.778	0.00	0.00	70	49
7.811	0.00	0.00	70	49
7.843	0.00	0.00	70	49
7.876	0.00	0.00	70	49
7.909	0.00	0.00	70	49
7.941	0.00	0.00	70	49
7.974	0.00	0.00	70	49
8.006	0.00	0.00	70	49
8.039	0.00	0.00	70	49
8.071	0.00	0.00	70	49
