pres	tc	td	wspd	wdir	alt
916	-0.50	-1.00	4.11	81	768
916	-0.24	-1.00	6.74	65	772
916	-0.29	-1.10	6.75	65	775
915	-0.29	-1.10	6.76	66	780
915	-0.33	-1.20	6.78	66	784
914	-0.35	-1.20	6.82	66	787
914	-0.40	-1.20	6.88	66	789
914	-0.46	-1.30	6.96	66	793
913	-0.46	-1.20	7.04	66	796
913	-0.53	-1.30	7.13	66	802
912	-0.58	-1.30	7.22	67	807
912	-0.64	-1.30	7.31	67	812
911	-0.69	-1.40	7.39	67	818
910	-0.71	-1.40	7.49	68	822
910	-0.78	-1.40	7.60	68	826
909	-0.82	-1.50	7.71	68	832
909	-0.87	-1.50	7.82	68	838
908	-0.91	-1.50	7.94	68	844
907	-0.93	-1.60	8.05	68	852
906	-1.00	-1.60	8.21	69	857
906	-1.04	-1.70	8.37	68	862
905	-1.11	-1.70	8.56	69	868
904	-1.16	-1.70	8.77	69	875
904	-1.22	-1.80	8.97	69	883
903	-1.24	-1.80	9.17	69	890
902	-1.27	-1.80	9.36	69	898
901	-1.31	-1.80	9.56	69	903
901	-1.40	-1.90	9.75	69	908
900	-1.42	-1.90	9.92	70	912
900	-1.45	-2.00	10.09	70	916
899	-1.40	-2.00	10.22	70	920
899	-1.38	-2.00	10.34	70	925
898	-1.36	-2.00	10.45	70	929
898	-1.24	-1.90	10.55	70	933
898	-1.36	-2.00	10.65	70	937
897	-1.49	-2.10	10.72	70	944
896	-1.49	-2.10	10.80	70	950
896	-1.53	-2.10	10.86	70	954
895	-1.56	-2.10	10.93	70	959
894	-1.62	-2.20	10.98	70	964
894	-1.62	-2.20	11.03	70	968
893	-1.62	-2.20	11.08	70	973
893	-1.60	-2.10	11.11	70	978
892	-1.60	-2.10	11.15	70	983
892	-1.69	-2.20	11.18	70	988
891	-1.74	-2.20	11.22	70	992
891	-1.76	-2.20	11.26	71	994
891	-1.76	-2.20	11.28	71	996
890	-1.78	-2.30	11.30	71	1000
890	-1.76	-2.20	11.30	71	1003
890	-1.74	-2.20	11.31	71	1007
889	-1.74	-2.20	11.34	71	1013
888	-1.76	-2.20	11.36	71	1018
888	-1.74	-2.20	11.37	72	1023
887	-1.74	-2.30	11.38	72	1027
887	-1.76	-2.30	11.40	72	1032
887	-1.78	-2.30	11.41	72	1034
886	-1.83	-2.30	11.43	72	1038
