pres	tc	td	wspd	wdir	alt
886	-1.87	-2.40	11.45	72	1042
885	-1.94	-2.50	11.47	72	1045
885	-1.96	-2.50	11.49	72	1049
885	-1.98	-2.50	11.48	72	1052
884	-2.03	-2.50	11.48	73	1056
884	-1.96	-2.50	11.47	73	1062
883	-1.96	-2.50	11.45	73	1066
882	-2.03	-2.50	11.43	74	1072
882	-2.03	-2.50	11.40	75	1078
881	-2.01	-2.50	11.37	75	1084
880	-1.94	-2.50	11.34	76	1089
880	-1.94	-2.50	11.32	76	1094
879	-1.96	-2.50	11.29	77	1100
879	-2.03	-2.60	11.27	78	1106
878	-2.05	-2.60	11.27	78	1111
878	-2.05	-2.60	11.23	79	1116
877	-2.07	-2.60	11.18	80	1122
876	-2.10	-2.60	11.14	81	1128
876	-2.12	-2.70	11.14	82	1135
875	-2.14	-2.70	11.17	82	1140
874	-2.19	-2.70	11.20	83	1146
873	-2.21	-2.80	11.23	84	1153
873	-2.25	-2.80	11.26	84	1159
872	-2.28	-2.80	11.33	85	1167
871	-2.30	-2.80	11.42	86	1173
871	-2.34	-2.90	11.53	86	1178
870	-2.37	-2.90	11.66	87	1184
869	-2.41	-3.00	11.83	87	1190
868	-2.43	-3.00	11.99	88	1198
868	-2.46	-3.00	12.12	88	1206
867	-2.46	-3.00	12.24	88	1211
867	-2.54	-3.10	12.37	89	1213
866	-2.59	-3.10	12.52	89	1218
866	-2.63	-3.20	12.67	89	1223
865	-2.59	-3.10	12.80	90	1230
864	-2.61	-3.10	12.92	90	1236
864	-2.59	-3.10	13.03	90	1242
863	-2.63	-3.10	13.15	90	1249
862	-2.55	-3.00	13.25	90	1253
862	-2.59	-3.10	13.35	90	1259
861	-2.61	-3.10	13.47	90	1264
861	-2.66	-3.10	13.58	90	1271
860	-2.64	-3.10	13.70	90	1278
859	-2.68	-3.20	13.80	90	1282
859	-2.70	-3.20	13.89	90	1287
858	-2.66	-3.20	13.99	90	1293
858	-2.59	-3.10	14.08	90	1296
857	-2.57	-3.10	14.15	90	1301
857	-2.59	-3.20	14.22	90	1305
856	-2.59	-3.20	14.29	90	1309
856	-2.61	-3.20	14.39	89	1313
856	-2.64	-3.30	14.48	89	1318
855	-2.66	-3.30	14.58	89	1323
854	-2.73	-3.40	14.69	89	1328
854	-2.75	-3.40	14.81	89	1333
853	-2.75	-3.40	14.92	89	1339
853	-2.79	-3.40	15.02	89	1344
852	-2.82	-3.50	15.10	89	1351
851	-2.84	-3.50	15.20	89	1357
851	-2.86	-3.50	15.31	89	1362
850	-2.88	-3.50	15.40	89	1368
850	-2.93	-3.60	15.49	89	1373
849	-3.00	-3.70	15.54	89	1379
848	-3.02	-3.70	15.54	89	1384
848	-3.08	-3.80	15.52	89	1388
848	-3.06	-3.70	15.49	89	1391
847	-3.08	-3.80	15.48	89	1396
846	-3.11	-3.80	15.48	89	1402
846	-3.17	-3.80	15.50	89	1406
846	-3.20	-3.80	15.51	89	1410
845	-3.24	-3.90	15.48	89	1415
845	-3.20	-3.80	15.46	89	1420
844	-3.24	-3.80	15.43	89	1423
844	-3.24	-3.80	15.43	89	1427
843	-3.26	-3.80	15.47	89	1431
843	-3.29	-3.90	15.51	89	1436
842	-3.33	-3.90	15.54	89	1440
842	-3.35	-3.90	15.55	89	1447
841	-3.38	-4.00	15.56	89	1454
840	-3.40	-4.00	15.59	89	1460
840	-3.42	-4.00	15.62	89	1465
839	-3.47	-4.10	15.65	89	1469
839	-3.51	-4.10	15.67	90	1475
838	-3.49	-4.10	15.73	90	1481
837	-3.56	-4.20	15.79	89	1488
837	-3.60	-4.20	15.84	89	1494
836	-3.65	-4.30	15.91	89	1501
836	-3.69	-4.30	15.99	89	1506
835	-3.71	-4.30	16.06	89	1511
834	-3.73	-4.40	16.14	90	1516
834	-3.76	-4.40	16.20	90	1519
834	-3.78	-4.40	16.26	90	1524
833	-3.82	-4.50	16.32	90	1529
832	-3.85	-4.50	16.38	90	1536
832	-3.87	-4.50	16.43	90	1543
831	-3.91	-4.60	16.47	90	1549
830	-3.96	-4.60	16.50	91	1556
829	-4.00	-4.70	16.50	91	1563
829	-4.05	-4.70	16.51	91	1569
828	-4.09	-4.70	16.55	91	1575
828	-4.14	-4.70	16.58	91	1581
827	-4.16	-4.80	16.59	91	1587
826	-4.18	-4.80	16.58	91	1593
826	-4.21	-4.80	16.59	91	1600
825	-4.25	-4.80	16.64	91	1606
824	-4.25	-4.80	16.66	91	1612
824	-4.27	-4.80	16.70	91	1617
823	-4.34	-4.90	16.73	90	1624
822	-4.36	-4.90	16.74	90	1631
822	-4.39	-5.00	16.75	90	1637
821	-4.41	-5.00	16.75	90	1642
821	-4.43	-5.00	16.78	90	1646
820	-4.48	-5.10	16.84	90	1651
820	-4.52	-5.10	16.91	90	1658
819	-4.54	-5.20	16.96	90	1664
818	-4.59	-5.20	16.97	90	1670
818	-4.61	-5.20	16.98	90	1675
817	-4.65	-5.30	16.98	91	1680
817	-4.65	-5.30	17.01	91	1686
816	-4.68	-5.30	17.05	91	1690
816	-4.70	-5.30	17.05	91	1695
815	-4.74	-5.40	17.04	91	1701
814	-4.77	-5.40	17.03	91	1707
814	-4.81	-5.40	17.00	91	1713
813	-4.83	-5.40	16.97	90	1718
813	-4.88	-5.50	16.93	90	1725
812	-4.90	-5.50	16.89	90	1731
811	-4.95	-5.60	16.84	90	1736
811	-4.97	-5.60	16.80	90	1741
811	-4.99	-5.60	16.76	90	1745
810	-5.04	-5.70	16.73	90	1749
810	-5.08	-5.70	16.73	90	1755
809	-5.10	-5.70	16.73	90	1763
808	-5.15	-5.80	16.72	90	1769
808	-5.15	-5.80	16.70	90	1774
807	-5.15	-5.80	16.67	90	1778
807	-5.19	-5.80	16.66	89	1783
806	-5.24	-5.90	16.66	89	1788
806	-5.28	-6.00	16.68	89	1794
805	-5.31	-6.00	16.71	89	1801
804	-5.35	-6.10	16.74	89	1807
804	-5.37	-6.10	16.77	89	1814
803	-5.40	-6.10	16.79	89	1819
802	-5.41	-6.20	16.82	89	1824
802	-5.42	-6.20	16.86	89	1829
801	-5.46	-6.20	16.90	89	1834
801	-5.46	-6.20	16.95	88	1840
800	-5.46	-6.20	16.97	89	1846
800	-5.52	-6.20	16.94	89	1853
799	-5.54	-6.30	16.90	89	1860
798	-5.56	-6.30	16.84	89	1866
798	-5.61	-6.40	16.78	89	1870
797	-5.63	-6.40	16.74	89	1876
796	-5.68	-6.40	16.71	89	1883
796	-5.72	-6.50	16.70	89	1888
796	-5.77	-6.50	16.68	89	1892
795	-5.79	-6.60	16.67	90	1900
794	-5.81	-6.60	16.64	90	1906
794	-5.84	-6.60	16.63	90	1911
793	-5.86	-6.60	16.69	90	1918
792	-5.88	-6.70	16.74	91	1923
792	-5.91	-6.70	16.80	91	1926
792	-5.93	-6.70	16.84	91	1930
791	-5.95	-6.70	16.88	91	1934
791	-6.00	-6.80	16.91	92	1940
790	-6.02	-6.80	16.93	92	1946
790	-6.04	-6.80	16.95	92	1950
789	-6.07	-6.90	16.97	92	1956
789	-6.11	-6.90	17.00	93	1961
788	-6.13	-7.00	17.03	93	1966
788	-6.18	-7.00	17.06	93	1971
787	-6.20	-7.10	17.10	93	1977
786	-6.27	-7.10	17.14	93	1983
786	-6.29	-7.20	17.20	93	1989
785	-6.27	-7.20	17.23	94	1993
785	-6.27	-7.20	17.27	94	1998
784	-6.27	-7.20	17.29	94	2005
784	-6.29	-7.20	17.30	94	2008
783	-6.32	-7.20	17.30	94	2012
783	-6.34	-7.20	17.29	94	2018
782	-6.39	-7.30	17.27	94	2023
782	-6.43	-7.30	17.24	94	2028
781	-6.48	-7.40	17.20	95	2033
781	-6.48	-7.40	17.16	95	2037
781	-6.43	-7.30	17.11	95	2040
780	-6.36	-7.20	17.10	95	2047
780	-6.32	-7.20	17.08	95	2052
779	-6.34	-7.20	17.07	95	2056
778	-6.34	-7.20	17.07	94	2062
778	-6.36	-7.20	17.09	94	2066
777	-6.41	-7.30	17.10	94	2072
777	-6.46	-7.30	17.13	94	2078
776	-6.52	-7.40	17.15	94	2083
776	-6.55	-7.50	17.17	94	2088
775	-6.59	-7.60	17.18	94	2094
775	-6.64	-7.70	17.18	94	2098
774	-6.68	-7.70	17.19	94	2104
774	-6.71	-7.80	17.20	94	2110
773	-6.75	-7.80	17.20	94	2114
773	-6.75	-7.90	17.18	94	2117
772	-6.73	-7.80	17.15	93	2122
772	-6.75	-7.90	17.14	93	2126
772	-6.78	-7.90	17.12	93	2130
771	-6.80	-7.90	17.11	93	2136
771	-6.84	-8.00	17.10	93	2142
770	-6.84	-8.00	17.07	93	2146
770	-6.89	-8.00	17.05	92	2150
769	-6.89	-8.00	17.01	92	2157
768	-6.89	-8.00	16.99	92	2162
768	-6.91	-8.00	16.98	92	2165
768	-6.96	-8.10	17.01	92	2168
768	-6.98	-8.10	17.02	92	2173
767	-7.00	-8.10	17.04	92	2178
766	-7.07	-8.20	17.06	92	2184
766	-7.12	-8.20	17.09	92	2189
766	-7.14	-8.30	17.15	92	2193
765	-7.16	-8.30	17.21	92	2199
765	-7.21	-8.30	17.24	92	2203
764	-7.23	-8.30	17.26	92	2208
764	-7.26	-8.40	17.28	92	2214
763	-7.28	-8.40	17.30	92	2219
762	-7.33	-8.40	17.32	92	2225
762	-7.33	-8.40	17.34	92	2231
761	-7.35	-8.40	17.35	92	2235
761	-7.39	-8.50	17.35	92	2239
760	-7.42	-8.50	17.33	92	2244
760	-7.46	-8.60	17.29	92	2249
760	-7.51	-8.60	17.27	92	2255
759	-7.53	-8.60	17.27	92	2260
759	-7.53	-8.60	17.29	92	2263
758	-7.58	-8.70	17.31	92	2267
758	-7.65	-8.80	17.31	92	2274
757	-7.65	-8.80	17.29	92	2280
757	-7.67	-8.80	17.27	92	2283
756	-7.69	-8.80	17.23	92	2287
756	-7.69	-8.70	17.21	92	2291
756	-7.72	-8.80	17.20	93	2295
755	-7.76	-8.80	17.19	93	2299
755	-7.76	-8.80	17.19	92	2304
754	-7.78	-8.80	17.18	92	2308
754	-7.81	-8.90	17.18	92	2311
754	-7.88	-8.90	17.16	93	2316
753	-7.90	-8.90	17.16	93	2322
752	-7.92	-9.00	17.18	93	2327
752	-7.97	-9.00	17.21	93	2333
752	-7.99	-9.10	17.24	93	2338
751	-8.04	-9.10	17.29	93	2340
751	-8.06	-9.10	17.35	93	2346
750	-8.08	-9.10	17.41	93	2353
750	-8.13	-9.20	17.46	94	2356
749	-8.15	-9.20	17.50	94	2362
749	-8.18	-9.20	17.52	94	2368
748	-8.20	-9.20	17.52	94	2374
748	-8.27	-9.30	17.50	94	2377
747	-8.31	-9.30	17.47	94	2382
747	-8.34	-9.40	17.43	94	2386
746	-8.38	-9.40	17.40	94	2391
746	-8.43	-9.40	17.36	94	2397
745	-8.48	-9.50	17.30	94	2404
744	-8.50	-9.50	17.26	95	2410
744	-8.54	-9.60	17.24	95	2414
744	-8.59	-9.60	17.25	95	2419
743	-8.61	-9.60	17.25	95	2423
743	-8.64	-9.60	17.27	95	2426
742	-8.68	-9.60	17.30	95	2432
742	-8.73	-9.70	17.33	95	2437
742	-8.75	-9.70	17.38	95	2441
741	-8.78	-9.70	17.45	95	2447
740	-8.82	-9.70	17.51	95	2454
740	-8.85	-9.80	17.56	96	2457
740	-8.87	-9.80	17.58	96	2462
739	-8.94	-9.80	17.57	96	2468
738	-8.96	-9.90	17.55	96	2473
738	-8.98	-9.90	17.56	96	2477
738	-9.03	-9.90	17.59	96	2482
737	-9.03	-9.90	17.62	97	2489
736	-8.96	-9.90	17.64	97	2498
736	-8.98	-9.90	17.65	97	2503
735	-9.03	-9.90	17.66	98	2509
734	-9.08	-10.00	17.64	98	2516
734	-9.12	-10.00	17.62	98	2521
733	-9.17	-10.10	17.59	99	2526
733	-9.24	-10.10	17.60	99	2531
733	-9.26	-10.20	17.62	100	2535
732	-9.29	-10.20	17.64	100	2541
732	-9.33	-10.30	17.66	100	2547
731	-9.36	-10.30	17.67	101	2552
731	-9.38	-10.30	17.69	101	2556
730	-9.40	-10.30	17.71	101	2560
730	-9.43	-10.40	17.73	101	2565
729	-9.45	-10.40	17.77	101	2569
729	-9.52	-10.40	17.83	102	2574
728	-9.54	-10.50	17.91	102	2579
728	-9.56	-10.50	17.99	102	2580
728	-9.59	-10.50	18.05	102	2582
728	-9.68	-10.60	18.08	102	2587
727	-9.70	-10.60	18.11	102	2592
727	-9.68	-10.60	18.16	102	2596
726	-9.73	-10.60	18.23	103	2600
726	-9.75	-10.70	18.30	103	2607
725	-9.77	-10.80	18.37	103	2613
725	-9.84	-10.80	18.43	104	2618
724	-9.84	-10.80	18.48	104	2623
724	-9.91	-10.90	18.55	104	2627
724	-9.87	-10.90	18.61	104	2630
723	-9.89	-10.90	18.67	104	2634
723	-9.94	-11.00	18.73	105	2640
722	-10.01	-11.10	18.78	105	2644
722	-10.01	-11.10	18.81	105	2649
722	-10.05	-11.10	18.86	106	2653
721	-10.12	-11.20	18.93	106	2660
720	-10.15	-11.20	19.00	106	2665
720	-10.17	-11.20	19.10	107	2668
720	-10.15	-11.20	19.22	107	2672
719	-10.24	-11.30	19.31	107	2679
718	-10.29	-11.30	19.39	108	2686
718	-10.33	-11.30	19.45	108	2690
718	-10.36	-11.40	19.53	108	2695
717	-10.36	-11.40	19.62	109	2702
716	-10.40	-11.50	19.74	109	2707
716	-10.47	-11.50	19.84	109	2713
716	-10.50	-11.50	19.91	109	2717
715	-10.52	-11.60	19.98	110	2720
715	-10.59	-11.60	20.02	110	2726
714	-10.59	-11.60	20.04	110	2731
714	-10.64	-11.70	20.05	110	2737
713	-10.64	-11.70	20.06	110	2742
713	-10.68	-11.80	20.08	110	2746
712	-10.71	-11.80	20.10	110	2750
712	-10.75	-11.90	20.11	110	2753
712	-10.73	-11.80	20.10	111	2759
711	-10.73	-11.80	20.08	111	2764
711	-10.76	-11.80	20.05	111	2769
710	-10.73	-11.80	20.01	111	2774
710	-10.73	-11.80	19.98	111	2779
709	-10.71	-11.70	19.96	112	2784
709	-10.76	-11.80	19.96	112	2788
708	-10.78	-11.80	19.98	112	2795
708	-10.83	-11.90	20.01	113	2802
707	-10.85	-11.90	20.04	113	2807
707	-10.87	-11.90	20.08	113	2811
706	-10.94	-12.00	20.11	113	2817
706	-10.97	-12.00	20.15	114	2822
705	-10.97	-12.10	20.20	114	2827
705	-10.99	-12.10	20.27	114	2832
704	-11.04	-12.20	20.35	114	2836
704	-11.04	-12.20	20.44	115	2841
704	-11.08	-12.30	20.55	115	2845
703	-11.13	-12.30	20.68	115	2849
703	-11.13	-12.30	20.82	116	2853
703	-11.18	-12.30	20.94	116	2857
702	-11.23	-12.40	21.05	116	2863
702	-11.27	-12.40	21.16	117	2870
701	-11.30	-12.40	21.27	117	2876
700	-11.34	-12.50	21.41	117	2882
700	-11.37	-12.50	21.54	118	2887
699	-11.44	-12.60	21.67	118	2894
699	-11.49	-12.70	21.79	118	2900
698	-11.49	-12.70	21.90	119	2906
698	-11.51	-12.70	21.98	119	2913
697	-11.56	-12.70	22.06	119	2918
697	-11.56	-12.70	22.18	120	2924
696	-11.63	-12.80	22.32	120	2930
695	-11.63	-12.80	22.48	120	2936
695	-11.63	-12.80	22.64	121	2940
695	-11.51	-12.60	22.79	122	2945
694	-11.49	-12.60	22.93	122	2950
694	-11.42	-12.50	23.07	122	2956
693	-11.44	-12.50	23.21	123	2961
693	-11.42	-12.40	23.35	124	2966
692	-11.46	-12.50	23.51	124	2971
692	-11.58	-12.60	23.67	125	2975
691	-11.61	-12.60	23.81	125	2981
691	-11.63	-12.60	23.92	126	2987
690	-11.61	-12.60	24.02	127	2993
690	-11.61	-12.60	24.12	127	2999
689	-11.61	-12.60	24.21	128	3005
689	-11.61	-12.60	24.29	129	3012
688	-11.65	-12.60	24.36	130	3018
688	-11.35	-12.20	24.43	130	3021
687	-11.21	-12.00	24.49	131	3025
687	-11.18	-11.90	24.56	132	3031
686	-11.32	-12.10	24.63	133	3037
686	-11.37	-12.10	24.67	134	3043
685	-11.21	-11.90	24.71	134	3049
685	-11.18	-11.90	24.73	135	3056
684	-11.23	-11.90	24.75	136	3062
684	-11.14	-11.80	24.78	136	3068
683	-10.88	-11.50	24.84	137	3074
683	-11.00	-11.60	24.92	138	3079
682	-10.90	-11.50	25.00	139	3085
682	-10.65	-11.10	25.09	140	3091
681	-10.58	-11.10	25.14	140	3098
680	-10.58	-11.00	25.20	141	3105
680	-10.60	-11.10	25.26	142	3110
679	-10.58	-11.10	25.34	142	3116
679	-10.58	-11.10	25.43	143	3120
678	-10.51	-11.00	25.54	144	3126
678	-10.42	-11.00	25.65	144	3131
678	-10.42	-11.00	25.74	145	3136
677	-10.39	-11.00	25.82	146	3141
677	-10.49	-11.10	25.90	146	3147
676	-10.67	-11.40	25.98	146	3151
676	-10.67	-11.40	26.06	147	3157
675	-10.56	-11.30	26.14	147	3162
675	-10.53	-11.30	26.22	148	3167
674	-10.65	-11.40	26.31	148	3172
674	-10.77	-11.60	26.40	149	3179
673	-10.77	-11.60	26.49	149	3184
673	-10.77	-11.60	26.58	150	3190
672	-10.74	-11.60	26.66	150	3194
672	-10.65	-11.50	26.72	150	3200
672	-10.65	-11.50	26.76	151	3206
671	-10.60	-11.40	26.81	152	3211
670	-10.60	-11.40	26.87	152	3218
670	-10.63	-11.40	26.93	152	3223
670	-10.63	-11.40	26.99	153	3228
669	-10.60	-11.40	27.03	154	3234
668	-10.56	-11.30	27.07	154	3241
668	-10.63	-11.40	27.11	154	3247
667	-10.63	-11.40	27.16	155	3253
667	-10.65	-11.40	27.22	156	3258
666	-10.63	-11.40	27.28	156	3264
666	-10.44	-11.20	27.36	157	3269
666	-10.37	-11.10	27.42	157	3275
665	-10.49	-11.20	27.47	158	3281
664	-10.30	-10.90	27.52	158	3287
664	-10.30	-10.90	27.58	159	3292
664	-10.26	-10.80	27.65	159	3296
663	-10.40	-11.00	27.72	160	3300
663	-10.19	-10.80	27.79	160	3306
662	-9.96	-10.40	27.86	160	3312
662	-9.70	-10.10	27.91	161	3316
661	-9.72	-10.10	27.97	161	3322
661	-9.77	-10.20	28.02	162	3329
660	-9.72	-10.10	28.06	162	3334
660	-9.70	-10.10	28.11	162	3339
660	-9.72	-10.10	28.13	163	3345
659	-9.77	-10.20	28.16	163	3352
658	-9.79	-10.30	28.17	164	3360
658	-9.75	-10.30	28.17	164	3365
657	-9.79	-10.30	28.17	164	3372
657	-9.86	-10.40	28.15	165	3378
656	-9.91	-10.50	28.13	165	3383
656	-9.89	-10.50	28.12	166	3388
655	-9.84	-10.40	28.13	166	3395
655	-9.77	-10.40	28.16	166	3401
654	-9.80	-10.40	28.21	166	3407
654	-9.82	-10.40	28.26	167	3413
653	-9.87	-10.50	28.30	167	3419
653	-9.87	-10.50	28.35	167	3425
652	-9.89	-10.50	28.39	167	3430
652	-9.91	-10.60	28.43	168	3438
651	-9.94	-10.60	28.48	168	3445
651	-9.89	-10.60	28.53	168	3449
650	-9.84	-10.50	28.57	168	3455
650	-9.87	-10.60	28.60	169	3460
649	-9.94	-10.60	28.61	169	3466
649	-9.94	-10.60	28.61	169	3472
648	-9.98	-10.70	28.61	169	3477
648	-10.01	-10.70	28.60	170	3483
647	-10.05	-10.80	28.59	170	3489
647	-10.01	-10.80	28.57	170	3496
646	-10.08	-10.80	28.55	170	3502
646	-10.12	-10.90	28.53	171	3508
645	-10.12	-10.90	28.52	171	3514
645	-10.12	-10.90	28.50	171	3521
644	-10.12	-10.90	28.48	171	3526
644	-10.12	-10.90	28.45	172	3530
644	-10.15	-10.90	28.41	172	3534
643	-10.19	-10.90	28.39	172	3541
642	-10.24	-11.00	28.39	172	3546
642	-10.29	-11.00	28.42	172	3551
642	-10.31	-11.10	28.46	173	3558
641	-10.38	-11.10	28.50	173	3564
640	-10.36	-11.10	28.53	173	3571
640	-10.36	-11.10	28.55	174	3577
640	-10.36	-11.10	28.58	174	3583
639	-10.40	-11.10	28.60	174	3588
638	-10.40	-11.10	28.63	175	3594
638	-10.45	-11.20	28.64	175	3601
638	-10.47	-11.20	28.64	175	3606
637	-10.47	-11.20	28.62	176	3612
637	-10.52	-11.30	28.60	176	3618
636	-10.57	-11.40	28.62	176	3624
636	-10.62	-11.40	28.66	177	3631
635	-10.66	-11.50	28.71	177	3636
635	-10.71	-11.50	28.79	177	3642
634	-10.76	-11.60	28.87	177	3647
634	-10.78	-11.60	28.96	178	3653
633	-10.83	-11.70	29.05	178	3658
633	-10.85	-11.70	29.16	178	3663
632	-10.90	-11.80	29.28	178	3670
632	-10.94	-11.80	29.39	179	3676
631	-10.94	-11.80	29.48	179	3681
631	-10.94	-11.80	29.55	179	3687
630	-10.94	-11.80	29.61	179	3693
630	-10.99	-11.80	29.67	179	3699
630	-11.01	-11.90	29.72	179	3704
629	-11.06	-11.90	29.76	180	3709
629	-11.09	-11.90	29.80	180	3715
628	-11.16	-12.00	29.86	180	3721
628	-11.18	-12.00	29.91	180	3728
627	-11.20	-12.10	29.97	180	3735
627	-11.23	-12.10	30.05	180	3739
626	-11.25	-12.10	30.13	180	3744
626	-11.27	-12.10	30.19	180	3748
626	-11.30	-12.10	30.25	180	3752
625	-11.32	-12.10	30.31	180	3757
625	-11.34	-12.20	30.37	180	3762
624	-11.41	-12.30	30.45	180	3767
624	-11.44	-12.30	30.52	180	3773
623	-11.49	-12.30	30.59	181	3779
623	-11.51	-12.40	30.67	181	3785
622	-11.51	-12.30	30.74	181	3791
622	-11.56	-12.40	30.79	181	3796
622	-11.60	-12.40	30.84	181	3803
621	-11.63	-12.50	30.90	181	3809
620	-11.65	-12.50	30.94	181	3815
620	-11.68	-12.50	30.96	181	3822
619	-11.72	-12.60	30.95	181	3829
619	-11.75	-12.60	30.92	181	3835
618	-11.77	-12.60	30.88	181	3841
618	-11.79	-12.60	30.83	181	3847
618	-11.82	-12.60	30.78	181	3853
617	-11.83	-12.70	30.73	181	3859
616	-11.85	-12.70	30.70	181	3865
616	-11.87	-12.70	30.66	181	3871
616	-11.91	-12.70	30.63	181	3876
615	-11.96	-12.80	30.60	181	3880
615	-12.03	-12.80	30.59	181	3887
614	-12.05	-12.90	30.61	181	3893
614	-12.10	-12.90	30.63	181	3899
613	-12.13	-12.90	30.66	181	3906
613	-12.15	-12.90	30.69	181	3911
612	-12.17	-13.00	30.72	181	3917
612	-12.20	-13.00	30.75	181	3923
612	-12.24	-13.00	30.80	182	3928
611	-12.29	-13.10	30.85	182	3935
610	-12.32	-13.10	30.90	182	3942
610	-12.36	-13.20	30.93	182	3948
609	-12.41	-13.20	30.95	182	3954
609	-12.46	-13.30	30.96	182	3960
608	-12.46	-13.30	30.97	183	3967
608	-12.53	-13.40	31.02	183	3973
607	-12.58	-13.40	31.11	183	3982
607	-12.55	-13.40	31.19	183	3989
606	-12.58	-13.40	31.28	183	3994
606	-12.60	-13.50	31.37	183	4001
605	-12.65	-13.50	31.46	183	4007
605	-12.70	-13.60	31.55	184	4014
604	-12.72	-13.60	31.66	184	4019
604	-12.72	-13.60	31.78	184	4026
603	-12.77	-13.60	31.92	184	4033
603	-12.75	-13.60	32.07	184	4038
602	-12.75	-13.60	32.19	185	4044
602	-12.77	-13.60	32.29	185	4051
601	-12.79	-13.60	32.39	185	4057
601	-12.83	-13.60	32.50	186	4063
600	-12.87	-13.70	32.62	186	4069
600	-12.79	-13.60	32.74	186	4075
599	-12.78	-13.60	32.87	187	4082
599	-12.77	-13.50	33.03	187	4088
598	-12.76	-13.50	33.19	187	4095
598	-12.75	-13.50	33.35	188	4102
597	-12.87	-13.60	33.49	188	4107
597	-12.87	-13.60	33.62	188	4113
596	-12.84	-13.50	33.76	188	4120
596	-12.89	-13.50	33.88	189	4127
595	-12.77	-13.40	33.99	189	4134
595	-12.61	-13.20	34.09	189	4138
594	-12.58	-13.20	34.18	190	4146
594	-12.68	-13.30	34.27	190	4153
593	-12.73	-13.40	34.34	190	4161
593	-12.75	-13.40	34.40	190	4168
592	-12.75	-13.40	34.46	191	4175
592	-12.70	-13.30	34.50	191	4182
591	-12.61	-13.30	34.54	191	4187
591	-12.58	-13.20	34.58	192	4192
590	-12.66	-13.30	34.63	192	4198
590	-12.66	-13.30	34.67	192	4205
589	-12.69	-13.40	34.71	192	4212
589	-12.72	-13.40	34.76	193	4219
588	-12.75	-13.50	34.78	193	4226
588	-12.82	-13.50	34.80	193	4230
587	-12.85	-13.60	34.80	193	4238
587	-12.85	-13.60	34.80	193	4244
586	-12.87	-13.70	34.81	194	4250
586	-12.92	-13.70	34.83	194	4256
585	-12.97	-13.80	34.87	194	4262
585	-12.97	-13.80	34.90	194	4270
584	-12.97	-13.80	34.91	194	4277
584	-12.99	-13.80	34.90	194	4283
583	-13.00	-13.80	34.85	194	4290
583	-13.02	-13.90	34.81	195	4296
582	-13.04	-13.90	34.77	195	4303
582	-13.09	-13.90	34.75	195	4309
581	-13.14	-14.00	34.72	195	4316
581	-13.16	-14.00	34.70	195	4323
580	-13.16	-14.00	34.67	195	4330
580	-13.21	-14.00	34.63	195	4336
579	-13.21	-14.00	34.58	195	4344
578	-13.23	-14.10	34.55	195	4351
578	-13.26	-14.10	34.55	196	4357
578	-13.26	-14.10	34.57	196	4363
577	-13.30	-14.10	34.59	196	4371
576	-13.35	-14.20	34.61	196	4379
576	-13.40	-14.20	34.61	196	4386
575	-13.42	-14.20	34.61	196	4392
